hgnc_symbol	ensembl_gene_id	surfaceome_category	n_tumor	n_gtex_stomach_normal	n_tcga_adjacent_normal	median_tpm_tumor	median_tpm_gtex_stomach	median_tpm_tcga_adjacent_normal	normal_xena_p90_tpm	normal_xena_p95_tpm	max_critical_normal_tpm	max_critical_normal_organ	max_non_gi_critical_normal_tpm	gi_normal_max_tpm	immune_blood_max_tpm	hpa_stomach_rna_ntpm	hpa_max_critical_rna_ntpm	hpa_normal_protein_max_level_score	hpa_normal_protein_max_organ	normal_expression_data_status	gastric_lineage_flag
ABCA1	ENSG00000165029	core_surfaceome	414	175	36	5.059835	2.969900	2.084948	12.963910	17.236040	36.200000	liver	36.200000	15.100000	19.600000	6.200000	36.200000	3	gi_epithelial	measured	
ABCA12	ENSG00000144452	core_surfaceome	414	175	36	0.219997	0.010000	0.160001	0.339990	0.690020	2.600000	immune	2.600000	1.700000	2.600000	0.000000	2.600000			measured	
ABCA2	ENSG00000107331	probable_surfaceome	414	175	36	16.594931	26.829462	7.900106	245.441280	336.316549	676.170901	brain	676.170901	28.259208	53.509497	10.200000	178.100000	3	brain	measured	
ABCA4	ENSG00000198691	core_surfaceome	414	175	36	0.089999	0.080002	0.135000	0.812017	1.460044	6.700000	kidney	6.700000	1.404986	0.200000	0.000000	6.700000	3	kidney	measured	
ABCA5	ENSG00000154265	probable_surfaceome	414	175	36	4.705019	12.809901	3.874953	32.145284	51.317370	69.391131	brain	69.391131	27.210158	13.164930	8.100000	20.200000	3	hematopoietic	measured	
ABCA7	ENSG00000064687	core_surfaceome	414	175	36	7.349793	6.689898	3.359936	53.077656	77.224251	77.815314	hematopoietic	77.815314	17.839699	77.815314	5.800000	41.500000	3	hematopoietic	measured	
ABCA8	ENSG00000141338	probable_surfaceome	414	175	36	0.999971	10.599791	4.369922	47.384701	62.438294	76.976094	reproductive_other	76.976094	36.040818	15.714992	13.500000	41.600000	3	gi_epithelial	measured	
ABCB1	ENSG00000085563	core_surfaceome	414	175	36	2.269956	1.790043	2.014992	17.912308	25.089734	66.600000	gi_epithelial	31.500000	66.600000	5.660169	2.000000	66.600000	3	brain	measured	
ABCB11	ENSG00000073734	core_surfaceome	414	175	36	0.020000	0.010000	0.010000	0.172004	3.056011	75.300000	liver	75.300000	1.700000	0.100000	0.000000	75.300000	3	liver	measured	
ABCB4	ENSG00000005471	core_surfaceome	414	175	36	0.490002	0.170004	0.269994	2.719930	5.679823	115.100000	liver	115.100000	2.000000	7.874995	0.600000	115.100000	3	liver	measured	
