hgnc_symbol	ensembl_gene_id	R_score	R_max	R_max_plus_breadth	R_sum_capped	max_risk_organ	critical_organs	caution_organs	n_critical_organs	n_caution_organs	risk_interpretation
ABCA1	ENSG00000165029	0.900000	0.900000	0.875000	0.996994	liver	hematopoietic;immune;liver	gi_epithelial;lung	3	2	high_critical_off_tumor_risk
ABCA12	ENSG00000144452	0.180125	0.180125	0.157503	0.104717	immune		gi_epithelial;immune	0	2	lower_risk_by_current_normal_expression
ABCA2	ENSG00000107331	1.000000	1.000000	0.955000	1.000000	brain	brain;hematopoietic;immune	gi_epithelial;reproductive_other	3	2	high_critical_off_tumor_risk
ABCA4	ENSG00000198691	0.900000	0.900000	0.743911	0.379703	kidney	kidney	gi_epithelial;reproductive_other	1	2	high_critical_off_tumor_risk
ABCA5	ENSG00000154265	1.000000	1.000000	0.960000	1.000000	brain	brain;gi_epithelial;liver	lung;reproductive_other	3	2	high_critical_off_tumor_risk
ABCA7	ENSG00000064687	1.000000	1.000000	0.955000	1.000000	brain	brain;hematopoietic;immune	gi_epithelial;lung	3	2	high_critical_off_tumor_risk
ABCA8	ENSG00000141338	1.000000	1.000000	0.930000	1.000000	heart	gi_epithelial;heart;reproductive_other	liver;lung	3	2	high_critical_off_tumor_risk
ABCB1	ENSG00000085563	0.900000	0.900000	0.880000	1.000000	kidney	gi_epithelial;kidney;liver	brain;reproductive_other	3	2	high_critical_off_tumor_risk
ABCB11	ENSG00000073734	0.900000	0.900000	0.793403	0.544675	liver	liver;reproductive_other	gi_epithelial	2	1	high_critical_off_tumor_risk
ABCB4	ENSG00000005471	0.900000	0.900000	0.875000	1.000000	liver	hematopoietic;immune;liver	endothelial;gi_epithelial;heart	3	3	high_critical_off_tumor_risk
ABCC1	ENSG00000103222	0.850000	0.850000	0.810000	0.909332	lung	gi_epithelial;lung;reproductive_other	hematopoietic;immune	3	2	high_critical_off_tumor_risk
ABCC11	ENSG00000121270	0.600000	0.600000	0.506215	0.287384	reproductive_other	reproductive_other	liver	1	1	moderate_off_tumor_risk
ABCC2	ENSG00000023839	0.900000	0.900000	0.880000	0.946122	kidney	gi_epithelial;kidney;liver	hematopoietic;immune	3	2	high_critical_off_tumor_risk
ABCC3	ENSG00000108846	0.900000	0.900000	0.850000	1.000000	liver	gi_epithelial;liver;reproductive_other	hematopoietic;immune;lung	3	3	high_critical_off_tumor_risk
ABCC4	ENSG00000125257	0.900000	0.900000	0.850000	0.898618	kidney	gi_epithelial;kidney;reproductive_other	immune;lung	3	2	high_critical_off_tumor_risk
ABCC5	ENSG00000114770	1.000000	1.000000	0.960000	1.000000	brain	brain;gi_epithelial;kidney	heart;hematopoietic;immune	3	3	high_critical_off_tumor_risk
ABCC6	ENSG00000091262	0.900000	0.900000	0.880000	0.975009	kidney	gi_epithelial;kidney;liver	lung;reproductive_other	3	2	high_critical_off_tumor_risk
ABCC8	ENSG00000006071	1.000000	1.000000	0.955000	1.000000	brain	brain;gi_epithelial;lung	heart;reproductive_other	3	2	high_critical_off_tumor_risk
