hgnc_symbol	ensembl_gene_id	organ	normal_expr_tpm_or_ntpm	normal_expression_source	organ_rank_percentile	caution_threshold_tpm	critical_threshold_tpm	organ_penalty	organ_weight	weighted_organ_penalty	risk_category	hpa_normal_protein_level_score	hpa_normal_protein_level
ABCA1	ENSG00000165029	brain	8.600000	xena_tissue_median+hpa_rna_ntpm_max	0.606679	10.650000	18.475000	0.000000	1.000000	0.000000	low	2	Medium
ABCA1	ENSG00000165029	endothelial	9.700000	hpa_rna_ntpm	0.773479	10.650000	18.475000	0.000000	0.850000	0.000000	low		
ABCA1	ENSG00000165029	gi_epithelial	15.100000	xena_tissue_median+hpa_rna_ntpm_max	0.666605	10.650000	18.475000	0.333302	0.700000	0.233312	caution	3	High
ABCA1	ENSG00000165029	heart	4.400000	xena_tissue_median+hpa_rna_ntpm_max	0.669017	10.650000	18.475000	0.000000	1.000000	0.000000	low	2	Medium
ABCA1	ENSG00000165029	hematopoietic	19.600000	xena_tissue_median+hpa_rna_ntpm_max	0.779963	10.650000	18.475000	1.000000	0.800000	0.800000	critical	1	Low
ABCA1	ENSG00000165029	immune	19.600000	xena_tissue_median+hpa_rna_ntpm_max	0.749165	10.650000	18.475000	1.000000	0.750000	0.750000	critical	2	Medium
ABCA1	ENSG00000165029	kidney	6.700000	xena_tissue_median+hpa_rna_ntpm_max	0.686271	10.650000	18.475000	0.000000	0.900000	0.000000	low	2	Medium
ABCA1	ENSG00000165029	liver	36.200000	xena_tissue_median+hpa_rna_ntpm_max	0.893135	10.650000	18.475000	1.000000	0.900000	0.900000	critical	2	Medium
ABCA1	ENSG00000165029	lung	11.600000	xena_tissue_median+hpa_rna_ntpm_max	0.723933	10.650000	18.475000	0.361967	0.850000	0.307672	caution	3	High
ABCA1	ENSG00000165029	reproductive_other	8.200000	xena_tissue_median+hpa_rna_ntpm_max	0.585529	10.650000	18.475000	0.000000	0.600000	0.000000	low	2	Medium
ABCA12	ENSG00000144452	brain	0.040001	xena_tissue_median_max+hpa_rna_ntpm	0.175696	1.000000	5.000000	0.000000	1.000000	0.000000	low		
ABCA12	ENSG00000144452	endothelial	0.000000	hpa_rna_ntpm	0.158152	1.000000	5.000000	0.000000	0.850000	0.000000	low		
ABCA12	ENSG00000144452	gi_epithelial	1.700000	xena_tissue_median+hpa_rna_ntpm_max	0.382931	1.000000	5.000000	0.191466	0.700000	0.134026	caution		
ABCA12	ENSG00000144452	heart	0.010000	xena_tissue_median_max+hpa_rna_ntpm	0.234694	1.000000	5.000000	0.000000	1.000000	0.000000	low		
ABCA12	ENSG00000144452	hematopoietic	0.010000	xena_tissue_median_max+hpa_rna_ntpm	0.180705	1.000000	5.000000	0.000000	0.800000	0.000000	low		
ABCA12	ENSG00000144452	immune	2.600000	xena_tissue_median+hpa_rna_ntpm_max	0.480334	1.000000	5.000000	0.240167	0.750000	0.180125	caution		
ABCA12	ENSG00000144452	kidney	0.025000	xena_tissue_median_max+hpa_rna_ntpm	0.235622	1.000000	5.000000	0.000000	0.900000	0.000000	low		
ABCA12	ENSG00000144452	liver	0.000000	xena_tissue_median_max+hpa_rna_ntpm	0.122635	1.000000	5.000000	0.000000	0.900000	0.000000	low		
ABCA12	ENSG00000144452	lung	0.010000	xena_tissue_median_max+hpa_rna_ntpm	0.204453	1.000000	5.000000	0.000000	0.850000	0.000000	low		
ABCA12	ENSG00000144452	reproductive_other	0.600000	xena_tissue_median+hpa_rna_ntpm_max	0.242857	1.000000	5.000000	0.000000	0.600000	0.000000	low		
ABCA2	ENSG00000107331	brain	676.170901	xena_tissue_median_max+hpa_rna_ntpm	0.995176	27.881952	49.894441	1.000000	1.000000	1.000000	critical	3	High
ABCA2	ENSG00000107331	endothelial	8.800000	hpa_rna_ntpm	0.760706	27.881952	49.894441	0.000000	0.850000	0.000000	low		
ABCA2	ENSG00000107331	gi_epithelial	28.259208	xena_tissue_median_max+hpa_rna_ntpm	0.762523	27.881952	49.894441	0.381262	0.700000	0.266883	caution	2	Medium
ABCA2	ENSG00000107331	heart	18.490622	xena_tissue_median_max+hpa_rna_ntpm	0.843043	27.881952	49.894441	0.000000	1.000000	0.000000	low	1	Low
ABCA2	ENSG00000107331	hematopoietic	53.509497	xena_tissue_median_max+hpa_rna_ntpm	0.895733	27.881952	49.894441	1.000000	0.800000	0.800000	critical	2	Medium
ABCA2	ENSG00000107331	immune	53.509497	xena_tissue_median_max+hpa_rna_ntpm	0.880891	27.881952	49.894441	1.000000	0.750000	0.750000	critical	2	Medium
ABCA2	ENSG00000107331	kidney	22.465051	xena_tissue_median_max+hpa_rna_ntpm	0.845640	27.881952	49.894441	0.000000	0.900000	0.000000	low	2	Medium
ABCA2	ENSG00000107331	liver	20.699712	xena_tissue_median_max+hpa_rna_ntpm	0.846011	27.881952	49.894441	0.000000	0.900000	0.000000	low	2	Medium
ABCA2	ENSG00000107331	lung	27.504697	xena_tissue_median_max+hpa_rna_ntpm	0.835622	27.881952	49.894441	0.000000	0.850000	0.000000	low	2	Medium
ABCA2	ENSG00000107331	reproductive_other	39.049273	xena_tissue_median_max+hpa_rna_ntpm	0.838961	27.881952	49.894441	0.419481	0.600000	0.251688	caution	3	High
ABCA4	ENSG00000198691	brain	0.510002	xena_tissue_median_max+hpa_rna_ntpm	0.311503	1.000000	5.000000	0.000000	1.000000	0.000000	low	0	Not detected
ABCA4	ENSG00000198691	endothelial	0.000000	hpa_rna_ntpm	0.158152	1.000000	5.000000	0.000000	0.850000	0.000000	low		
ABCA4	ENSG00000198691	gi_epithelial	1.404986	xena_tissue_median_max+hpa_rna_ntpm	0.369573	1.000000	5.000000	0.184787	0.700000	0.129351	caution	0	Not detected
ABCA4	ENSG00000198691	heart	0.100000	xena_tissue_median+hpa_rna_ntpm_max	0.314286	1.000000	5.000000	0.000000	1.000000	0.000000	low	0	Not detected
ABCA4	ENSG00000198691	hematopoietic	0.159996	xena_tissue_median_max+hpa_rna_ntpm	0.284787	1.000000	5.000000	0.000000	0.800000	0.000000	low	0	Not detected
ABCA4	ENSG00000198691	immune	0.200000	xena_tissue_median+hpa_rna_ntpm_max	0.240260	1.000000	5.000000	0.000000	0.750000	0.000000	low	0	Not detected
ABCA4	ENSG00000198691	kidney	6.700000	xena_tissue_median+hpa_rna_ntpm_max	0.686271	1.000000	5.000000	1.000000	0.900000	0.900000	critical	3	High
ABCA4	ENSG00000198691	liver	0.500000	xena_tissue_median+hpa_rna_ntpm_max	0.456772	1.000000	5.000000	0.000000	0.900000	0.000000	low	0	Not detected
ABCA4	ENSG00000198691	lung	0.405002	xena_tissue_median_max+hpa_rna_ntpm	0.373284	1.000000	5.000000	0.000000	0.850000	0.000000	low	0	Not detected
ABCA4	ENSG00000198691	reproductive_other	1.880000	xena_tissue_median_max+hpa_rna_ntpm	0.365863	1.000000	5.000000	0.182931	0.600000	0.109759	caution	0	Not detected
ABCA5	ENSG00000154265	brain	69.391131	xena_tissue_median_max+hpa_rna_ntpm	0.902412	13.170009	26.280026	1.000000	1.000000	1.000000	critical	3	High
ABCA5	ENSG00000154265	endothelial	4.400000	hpa_rna_ntpm	0.675620	13.170009	26.280026	0.000000	0.850000	0.000000	low		
ABCA5	ENSG00000154265	gi_epithelial	27.210158	xena_tissue_median_max+hpa_rna_ntpm	0.756586	13.170009	26.280026	1.000000	0.700000	0.700000	critical	3	High
ABCA5	ENSG00000154265	heart	7.949800	xena_tissue_median_max+hpa_rna_ntpm	0.742115	13.170009	26.280026	0.000000	1.000000	0.000000	low	3	High
ABCA5	ENSG00000154265	hematopoietic	13.164930	xena_tissue_median_max+hpa_rna_ntpm	0.728757	13.170009	26.280026	0.000000	0.800000	0.000000	low	3	High
ABCA5	ENSG00000154265	immune	13.164930	xena_tissue_median_max+hpa_rna_ntpm	0.692764	13.170009	26.280026	0.000000	0.750000	0.000000	low	3	High
ABCA5	ENSG00000154265	kidney	12.654907	xena_tissue_median_max+hpa_rna_ntpm	0.776252	13.170009	26.280026	0.000000	0.900000	0.000000	low	3	High
ABCA5	ENSG00000154265	liver	26.495029	xena_tissue_median_max+hpa_rna_ntpm	0.866790	13.170009	26.280026	1.000000	0.900000	0.900000	critical	2	Medium
ABCA5	ENSG00000154265	lung	13.175088	xena_tissue_median_max+hpa_rna_ntpm	0.737662	13.170009	26.280026	0.368831	0.850000	0.313506	caution	2	Medium
