hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	hpa_stomach_cancer_total_patients	hpa_stomach_cancer_high	hpa_stomach_cancer_medium	hpa_stomach_cancer_low	hpa_stomach_cancer_not_detected	hpa_stomach_cancer_present_pct	hpa_stomach_cancer_high_medium_pct	hpa_stomach_cancer_weighted_presence	hpa_stomach_cancer_max_staining	hpa_stomach_cancer_dominant_staining	normal_stomach_protein_level_score	normal_stomach_protein_level	normal_stomach_reliability	normal_critical_protein_level_score	normal_critical_protein_level	normal_critical_protein_organ	hpa_subcellular_reliability	hpa_main_location	hpa_additional_location	hpa_extracellular_location	membrane_support_class	protein_tumor_presence	membrane_localization_support	normal_protein_safety_support	antibody_validation_support	discordance_penalty	P_score	P_rank_percentile	median_tpm_tumor	E_rank_percentile	R_score	discordance_flags	cptac_status	hpa_evidence_status	bulk_limitations
ABCA1	ENSG00000165029	O95477	core_surfaceome	10	0	3	4	3	0.700000	0.300000	0.333333	Medium	Low	3.000000	High	Approved	3.000000	High	gi_epithelial	Supported	Plasma membrane	Golgi apparatus		plasma_membrane	0.333333	1.000000	0.000000	0.850000	0.000000	0.536667	0.884852	5.059835	0.707236	0.900000	CPTAC_not_assessed	CPTAC_not_assessed	stomach_cancer_ihc_available	HPA_cancer_bulk_has_no_antibody_id_intensity_quantity_or_patient_level_membrane_pattern
ABCA12	ENSG00000144452	Q86UK0	core_surfaceome	0	0	0	0	0												Approved	Plasma membrane;Vesicles	Cytosol;Nucleoli		plasma_membrane		1.000000	0.500000	0.700000	0.200000			0.219997	0.431169	0.180125	HPA_missing;CPTAC_not_assessed	CPTAC_not_assessed	missing_stomach_cancer_ihc	HPA_cancer_bulk_has_no_antibody_id_intensity_quantity_or_patient_level_membrane_pattern
ABCA2	ENSG00000107331	Q9BZC7	probable_surfaceome	10	0	10	0	0	1.000000	1.000000	0.666667	Medium	Medium	2.000000	Medium	Approved	3.000000	High	brain	Supported	Vesicles			no_membrane_support	0.666667	0.000000	0.000000	0.850000	0.150000	0.253333	0.541643	16.594931	0.866419	1.000000	protein_present_no_membrane;CPTAC_not_assessed	CPTAC_not_assessed	stomach_cancer_ihc_available	HPA_cancer_bulk_has_no_antibody_id_intensity_quantity_or_patient_level_membrane_pattern
ABCA4	ENSG00000198691	P78363	core_surfaceome	11	0	0	0	11	0.000000	0.000000	0.000000	Not detected	Not detected	0.000000	Not detected	Enhanced	3.000000	High	kidney	Supported	Endoplasmic reticulum			no_membrane_support	0.000000	0.000000	0.000000	1.000000	0.000000	0.200000	0.354108	0.089999	0.312059	0.900000	CPTAC_not_assessed	CPTAC_not_assessed	stomach_cancer_ihc_available	HPA_cancer_bulk_has_no_antibody_id_intensity_quantity_or_patient_level_membrane_pattern
ABCA5	ENSG00000154265	Q8WWZ7	probable_surfaceome	11	0	9	2	0	1.000000	0.818182	0.606061	Medium	Medium	3.000000	High	Approved	3.000000	High	hematopoietic	Approved	Nucleoplasm			no_membrane_support	0.606061	0.000000	0.000000	0.700000	0.150000	0.202121	0.389324	4.705019	0.701670	1.000000	protein_present_no_membrane;CPTAC_not_assessed	CPTAC_not_assessed	stomach_cancer_ihc_available	HPA_cancer_bulk_has_no_antibody_id_intensity_quantity_or_patient_level_membrane_pattern
ABCA7	ENSG00000064687	Q8IZY2	core_surfaceome	12	0	0	4	8	0.333333	0.000000	0.111111	Low	Not detected	0.000000	Not detected	Enhanced	3.000000	High	hematopoietic	Supported	Golgi apparatus;Plasma membrane	Cell Junctions		plasma_membrane	0.111111	1.000000	0.000000	1.000000	0.000000	0.488889	0.822527	7.349793	0.764378	1.000000	CPTAC_not_assessed	CPTAC_not_assessed	stomach_cancer_ihc_available	HPA_cancer_bulk_has_no_antibody_id_intensity_quantity_or_patient_level_membrane_pattern
ABCA8	ENSG00000141338	O94911	probable_surfaceome	10	0	0	0	10	0.000000	0.000000	0.000000	Not detected	Not detected	1.000000	Low	Enhanced	3.000000	High	gi_epithelial	Approved	Nucleoplasm	Cytosol		no_membrane_support	0.000000	0.000000	0.000000	1.000000	0.000000	0.200000	0.354108	0.999971	0.556957	1.000000	CPTAC_not_assessed	CPTAC_not_assessed	stomach_cancer_ihc_available	HPA_cancer_bulk_has_no_antibody_id_intensity_quantity_or_patient_level_membrane_pattern
ABCB1	ENSG00000085563	P08183	core_surfaceome	12	0	1	3	8	0.333333	0.083333	0.138889	Medium	Not detected	0.000000	Not detected	Enhanced	3.000000	High	brain	Supported	Plasma membrane			plasma_membrane	0.138889	1.000000	0.000000	1.000000	0.000000	0.498611	0.833426	2.269956	0.614842	0.900000	CPTAC_not_assessed	CPTAC_not_assessed	stomach_cancer_ihc_available	HPA_cancer_bulk_has_no_antibody_id_intensity_quantity_or_patient_level_membrane_pattern
ABCB11	ENSG00000073734	O95342	core_surfaceome	12	0	0	0	12	0.000000	0.000000	0.000000	Not detected	Not detected	0.000000	Not detected	Enhanced	3.000000	High	liver	Uncertain	Cytosol;Nucleoplasm;Plasma membrane			plasma_membrane	0.000000	1.000000	0.000000	1.000000	0.000000	0.450000	0.762717	0.020000	0.243414	0.900000	CPTAC_not_assessed	CPTAC_not_assessed	stomach_cancer_ihc_available	HPA_cancer_bulk_has_no_antibody_id_intensity_quantity_or_patient_level_membrane_pattern
ABCB4	ENSG00000005471	P21439	core_surfaceome	11	0	0	0	11	0.000000	0.000000	0.000000	Not detected	Not detected	0.000000	Not detected	Enhanced	3.000000	High	liver	Approved	Nucleoplasm;Plasma membrane	Cytosol;Focal adhesion sites		plasma_membrane	0.000000	1.000000	0.000000	1.000000	0.000000	0.450000	0.762717	0.490002	0.437848	0.900000	CPTAC_not_assessed	CPTAC_not_assessed	stomach_cancer_ihc_available	HPA_cancer_bulk_has_no_antibody_id_intensity_quantity_or_patient_level_membrane_pattern
