hgnc_symbol	ensembl_gene_id	surfaceome_category	N_stomach_log2fc	N_critical_log2fc	N_tcga_adjacent_log2fc	N_stat_gtex	N_score	N_rank_percentile	positive_N_stat_rule_gtex	gtex_fdr_bh	tcga_adjacent_fdr_bh	gastric_lineage_flag	selectivity_interpretation
ABCA1	ENSG00000165029	core_surfaceome	0.749133	-2.814573	1.239726	0.528757	0.615844	0.670872	false	0.000002	0.000004		higher_or_equal_in_critical_normal
ABCA12	ENSG00000144452	core_surfaceome	1.540560	-3.076828	0.299543	0.797403	0.690204	0.788497	true	0.000000	0.169998		higher_or_equal_in_critical_normal
ABCA2	ENSG00000107331	probable_surfaceome	-0.689775	-5.340119	1.061319	0.380705	0.257848	0.185158	false	0.000000	0.000000		higher_or_equal_in_critical_normal
ABCA4	ENSG00000198691	core_surfaceome	0.077982	-5.161468	-0.306665	0.314193	0.343840	0.280148	false	0.062143	0.052019		higher_or_equal_in_critical_normal
ABCA5	ENSG00000154265	probable_surfaceome	-1.425864	-3.854215	0.273604	0.484508	0.353210	0.290167	false	0.000000	0.327037		higher_or_equal_in_critical_normal
ABCA7	ENSG00000064687	core_surfaceome	0.133810	-3.386635	1.106455	0.320037	0.457737	0.417069	false	0.075147	0.000000		higher_or_equal_in_critical_normal
ABCA8	ENSG00000141338	probable_surfaceome	-3.282045	-6.130746	-2.022784	0.453989	0.212839	0.132839	false	0.000000	0.000000		higher_or_equal_in_critical_normal
ABCB1	ENSG00000085563	core_surfaceome	0.326441	-4.814754	0.164208	0.358627	0.404564	0.355102	false	0.056273	0.896075		higher_or_equal_in_critical_normal
ABCB11	ENSG00000073734	core_surfaceome	0.125530	-9.295392	0.125530	0.464842	0.272635	0.198887	false	0.000000	0.019919		higher_or_equal_in_critical_normal
ABCB4	ENSG00000005471	core_surfaceome	1.127740	-7.609206	0.673217	0.701113	0.420594	0.371429	true	0.000000	0.000995		higher_or_equal_in_critical_normal
ABCC1	ENSG00000103222	core_surfaceome	0.813594	-0.962317	0.688715	0.636364	0.768200	0.875696	false	0.000000	0.000007		higher_or_equal_in_critical_normal
ABCC11	ENSG00000121270	core_surfaceome	0.893055	-4.349440	0.274157	0.766698	0.559536	0.553247	false	0.000000	0.074709		higher_or_equal_in_critical_normal
ABCC2	ENSG00000023839	core_surfaceome	-0.188779	-7.936306	1.181637	0.150093	0.106197	0.015955	false	0.302786	0.010263		higher_or_equal_in_critical_normal
ABCC3	ENSG00000108846	core_surfaceome	0.141900	-1.178771	1.503601	0.301299	0.607941	0.651948	false	0.195152	0.000000		higher_or_equal_in_critical_normal
ABCC4	ENSG00000125257	core_surfaceome	0.857617	-2.966177	1.220986	0.615028	0.623636	0.687941	false	0.000000	0.000000		higher_or_equal_in_critical_normal
ABCC5	ENSG00000114770	core_surfaceome	-1.760962	-3.892955	-0.158991	0.480891	0.344267	0.281262	false	0.000000	0.654194		higher_or_equal_in_critical_normal
ABCC6	ENSG00000091262	core_surfaceome	0.205498	-3.899853	0.475803	0.356679	0.446308	0.403711	false	0.019868	0.073041		higher_or_equal_in_critical_normal
ABCC8	ENSG00000006071	core_surfaceome	-4.923803	-9.418511	-1.443914	0.484972	0.131874	0.038219	false	0.000000	0.000220		higher_or_equal_in_critical_normal
ABCC9	ENSG00000069431	core_surfaceome	0.394396	-3.991629	-0.161112	0.310575	0.438627	0.395918	false	0.591629	0.594611		higher_or_equal_in_critical_normal
ABCG1	ENSG00000160179	core_surfaceome	0.592131	-1.763459	0.571864	0.569388	0.686531	0.784045	false	0.000000	0.021112		higher_or_equal_in_critical_normal
ABCG2	ENSG00000118777	core_surfaceome	1.095164	-5.884519	-0.113070	0.677922	0.476623	0.439703	true	0.000000	0.073178		higher_or_equal_in_critical_normal
ABCG4	ENSG00000172350	core_surfaceome	-0.192681	-7.265882	-0.308144	0.249907	0.153173	0.065677	false	0.000464	0.048137		higher_or_equal_in_critical_normal
ABCG5	ENSG00000138075	core_surfaceome	1.415031	-7.543528	0.870689	0.869666	0.474082	0.435993	true	0.000000	0.110609		higher_or_equal_in_critical_normal
ABCG8	ENSG00000143921	core_surfaceome	1.184417	-7.520435	0.643831	0.774397	0.441929	0.399629	true	0.000000	0.648339		higher_or_equal_in_critical_normal
ACE	ENSG00000159640	core_surfaceome	2.475832	-3.648840	1.366257	0.953989	0.710464	0.815955	true	0.000000	0.005235		higher_or_equal_in_critical_normal
ACE2	ENSG00000130234	core_surfaceome	2.371743	-6.911883	-0.313604	0.837662	0.525492	0.505380	true	0.000000	0.210770		higher_or_equal_in_critical_normal
ACHE	ENSG00000087085	core_surfaceome	2.684334	-4.284960	0.439115	0.847866	0.655325	0.743228	true	0.000000	0.118890		higher_or_equal_in_critical_normal
ACKR1	ENSG00000213088	core_surfaceome	-1.268111	-4.538583	-2.030765	0.312616	0.255028	0.180334	false	0.000000	0.000000		higher_or_equal_in_critical_normal
ACKR2	ENSG00000144648	core_surfaceome	0.396913	-3.493844	-0.180018	0.432653	0.518293	0.496475	false	0.000554	0.131947		higher_or_equal_in_critical_normal
ACKR3	ENSG00000144476	core_surfaceome	0.554254	-3.314830	-0.309987	0.395176	0.530315	0.510946	false	0.041519	0.040706		higher_or_equal_in_critical_normal
