hgnc_symbol	ensembl_gene_id	surfaceome_category	selected_scrna_dataset	scRNA_gate_status	scRNA_data_status	SC_status	SC_score	SC_rank_percentile	pct_malignant_cells_positive	mean_expr_malignant_epithelial	mean_expr_normal_epithelial	max_tme_expr	tumor_cell_specificity_index	cellular_specificity_label	tme_contamination_risk	max_tme_module	max_tme_spearman_rho	max_tme_partial_spearman_rho	bulk_tme_fallback_status	purity_adjustment_status
ABCA1	ENSG00000165029	core_surfaceome		not_entered_mvp_no_processed_annotated_dataset	not_available_no_processed_annotated_dataset_admitted	not_available								ambiguous	moderate_residual_tme_correlation	myeloid_macrophage	0.594686	0.327546	computed_uncorrected_bulk_marker_correlations	computed_partial_spearman_with_estimate_rnaseq_relative_proxy
ABCA12	ENSG00000144452	core_surfaceome		not_entered_mvp_no_processed_annotated_dataset	not_available_no_processed_annotated_dataset_admitted	not_available								not covered	low_uncorrected_tme_correlation	myeloid_macrophage	0.076740	0.196289	computed_uncorrected_bulk_marker_correlations	computed_partial_spearman_with_estimate_rnaseq_relative_proxy
ABCA2	ENSG00000107331	probable_surfaceome		not_entered_mvp_no_processed_annotated_dataset	not_available_no_processed_annotated_dataset_admitted	not_available								not covered	low_uncorrected_tme_correlation	caf_fibroblast	0.192236	0.341381	computed_uncorrected_bulk_marker_correlations	computed_partial_spearman_with_estimate_rnaseq_relative_proxy
ABCA4	ENSG00000198691	core_surfaceome		not_entered_mvp_no_processed_annotated_dataset	not_available_no_processed_annotated_dataset_admitted	not_available								not covered	low_uncorrected_tme_correlation	endothelial	0.342666	0.328178	computed_uncorrected_bulk_marker_correlations	computed_partial_spearman_with_estimate_rnaseq_relative_proxy
ABCA5	ENSG00000154265	probable_surfaceome		not_entered_mvp_no_processed_annotated_dataset	not_available_no_processed_annotated_dataset_admitted	not_available								not covered	low_uncorrected_tme_correlation	endothelial	0.042514	0.184442	computed_uncorrected_bulk_marker_correlations	computed_partial_spearman_with_estimate_rnaseq_relative_proxy
ABCA7	ENSG00000064687	core_surfaceome		not_entered_mvp_no_processed_annotated_dataset	not_available_no_processed_annotated_dataset_admitted	not_available								not covered	low_uncorrected_tme_correlation	t_cell	0.108137	0.196460	computed_uncorrected_bulk_marker_correlations	computed_partial_spearman_with_estimate_rnaseq_relative_proxy
ABCA8	ENSG00000141338	probable_surfaceome		not_entered_mvp_no_processed_annotated_dataset	not_available_no_processed_annotated_dataset_admitted	not_available								ambiguous	high_purity_adjusted_tme_correlation	endothelial	0.618872	0.441646	computed_uncorrected_bulk_marker_correlations	computed_partial_spearman_with_estimate_rnaseq_relative_proxy
ABCB1	ENSG00000085563	core_surfaceome		not_entered_mvp_no_processed_annotated_dataset	not_available_no_processed_annotated_dataset_admitted	not_available								ambiguous	moderate_residual_tme_correlation	endothelial	0.589045	0.374783	computed_uncorrected_bulk_marker_correlations	computed_partial_spearman_with_estimate_rnaseq_relative_proxy
ABCB11	ENSG00000073734	core_surfaceome		not_entered_mvp_no_processed_annotated_dataset	not_available_no_processed_annotated_dataset_admitted	not_available								not covered	low_uncorrected_tme_correlation	endothelial	0.139032	0.087346	computed_uncorrected_bulk_marker_correlations	computed_partial_spearman_with_estimate_rnaseq_relative_proxy
ABCB4	ENSG00000005471	core_surfaceome		not_entered_mvp_no_processed_annotated_dataset	not_available_no_processed_annotated_dataset_admitted	not_available								ambiguous	watchlist_uncorrected_tme_correlation	endothelial	0.390236	0.245647	computed_uncorrected_bulk_marker_correlations	computed_partial_spearman_with_estimate_rnaseq_relative_proxy
