hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	tumor_sample_source	n_tumor_samples	median_tpm_tumor	robust_mean_tpm_tumor	p75_tpm_tumor	p90_tpm_tumor	pct_samples_tpm_gt_1	pct_samples_tpm_gt_5	median_tpm_rank_percentile	pct_gt_1_rank_percentile	p75_tpm_rank_percentile	p90_tpm_rank_percentile	E_score	E_rank_percentile	expression_data_status	xena_gene_id
ABCA1	ENSG00000165029	O95477	core_surfaceome	Xena/Toil TCGA-STAD Primary Tumor	414	5.059835	5.460061	8.159900	11.596222	0.968599	0.502415	0.710946	0.740445	0.694991	0.668275	0.712338	0.707236	measured	ENSG00000165029.15
ABCA12	ENSG00000144452	Q86UK0	core_surfaceome	Xena/Toil TCGA-STAD Primary Tumor	414	0.219997	0.510994	0.940022	2.680053	0.239130	0.038647	0.398145	0.449722	0.449536	0.479035	0.431985	0.431169	measured	ENSG00000144452.14
ABCA2	ENSG00000107331	Q9BZC7	probable_surfaceome	Xena/Toil TCGA-STAD Primary Tumor	414	16.594931	17.822092	25.177151	35.615472	1.000000	0.961353	0.854174	0.923562	0.845269	0.826345	0.870427	0.866419	measured	ENSG00000107331.16
ABCA4	ENSG00000198691	P78363	core_surfaceome	Xena/Toil TCGA-STAD Primary Tumor	414	0.089999	0.111762	0.177505	0.349990	0.019324	0.002415	0.332096	0.283117	0.310946	0.292764	0.309239	0.312059	measured	ENSG00000198691.11
ABCA5	ENSG00000154265	Q8WWZ7	probable_surfaceome	Xena/Toil TCGA-STAD Primary Tumor	414	4.705019	5.047832	7.397461	10.520036	0.978261	0.456522	0.702041	0.754360	0.683117	0.650093	0.708757	0.701670	measured	ENSG00000154265.15
ABCA7	ENSG00000064687	Q8IZY2	core_surfaceome	Xena/Toil TCGA-STAD Primary Tumor	414	7.349793	8.133018	11.669962	17.136168	0.995169	0.741546	0.761039	0.815213	0.742115	0.730241	0.770427	0.764378	measured	ENSG00000064687.12
ABCA8	ENSG00000141338	O94911	probable_surfaceome	Xena/Toil TCGA-STAD Primary Tumor	414	0.999971	1.751716	3.382487	7.714038	0.497585	0.157005	0.544341	0.543970	0.583302	0.603340	0.557922	0.556957	measured	ENSG00000141338.13
ABCB1	ENSG00000085563	P08183	core_surfaceome	Xena/Toil TCGA-STAD Primary Tumor	414	2.269956	2.701016	4.207557	6.856916	0.809179	0.185990	0.623191	0.636549	0.605195	0.587013	0.619981	0.614842	measured	ENSG00000085563.14
ABCB11	ENSG00000073734	O95342	core_surfaceome	Xena/Toil TCGA-STAD Primary Tumor	414	0.020000	0.036355	0.060002	0.156997	0.009662	0.002415	0.236364	0.253247	0.229314	0.232468	0.239629	0.243414	measured	ENSG00000073734.8
ABCB4	ENSG00000005471	P21439	core_surfaceome	Xena/Toil TCGA-STAD Primary Tumor	414	0.490002	0.535618	0.769999	1.419994	0.171498	0.007246	0.471985	0.419852	0.426716	0.409647	0.441058	0.437848	measured	ENSG00000005471.15
ABCC1	ENSG00000103222	P33527	core_surfaceome	Xena/Toil TCGA-STAD Primary Tumor	414	18.355263	19.018611	25.469866	33.168071	1.000000	0.973430	0.863822	0.923562	0.846382	0.816327	0.873506	0.871243	measured	ENSG00000103222.18
ABCC11	ENSG00000121270	Q96J66	core_surfaceome	Xena/Toil TCGA-STAD Primary Tumor	414	0.159996	0.169322	0.239999	0.377008	0.021739	0.002415	0.371614	0.289425	0.337662	0.299443	0.332950	0.341002	measured	ENSG00000121270.15
ABCC2	ENSG00000023839	Q92887	core_surfaceome	Xena/Toil TCGA-STAD Primary Tumor	414	0.365005	0.823857	1.257525	5.168941	0.285024	0.106280	0.441373	0.471243	0.478479	0.553247	0.468942	0.470872	measured	ENSG00000023839.10
