rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	ranking_status	score_config_sha256	git_commit	Surf_relative_confidence	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation	freeze_version	freeze_date_utc	git_worktree_status_at_freeze
1	HLA-DRB3	ENSG00000196101	P79483	core_surfaceome	balanced	0.773952	0.250000	E;N;R;P	4	E;N;R;P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.666667					not_available		0.934881	0.100000						0.093488					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression	v1	2026-05-29	dirty
2	HLA-DRB4	ENSG00000227357	P13762	core_surfaceome	balanced	0.773952	0.250000	E;N;R;P	4	E;N;R;P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.666667					not_available		0.934881	0.100000						0.093488					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression	v1	2026-05-29	dirty
3	KIR2DL5A	ENSG00000274143	Q8N109	core_surfaceome	balanced	0.773952	0.250000	E;N;R;P	4	E;N;R;P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.666667					not_available		0.934881	0.100000						0.093488					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression	v1	2026-05-29	dirty
4	KIR2DS1	ENSG00000276387	Q14954	core_surfaceome	balanced	0.773952	0.250000	E;N;R;P	4	E;N;R;P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.666667					not_available		0.934881	0.100000						0.093488					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression	v1	2026-05-29	dirty
5	ITGB4	ENSG00000132470	P16144	core_surfaceome	balanced	0.686230	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	1.000000	0.988262	0.995456	0.364445	0.887464	not_available		0.792563	0.150000	0.197652	0.199091	-0.072889	0.133120		0.079256	0.966509	0.952177	0.800000	0.540000	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk	v1	2026-05-29	dirty
6	CDH3	ENSG00000062038	P22223	core_surfaceome	balanced	0.667936	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	1.000000	0.829610	0.961378	0.312760	0.953561	not_available		0.792563	0.150000	0.165922	0.192276	-0.062552	0.143034		0.079256	0.832526	0.865808	0.750000	0.644444	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	immune	moderate_off_tumor_risk	v1	2026-05-29	dirty
7	MPZL1	ENSG00000197965	O95297	core_surfaceome	balanced	0.665574	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	1.000000	0.973874	0.994320	0.471412	0.963533	not_available		0.716874	0.150000	0.194775	0.198864	-0.094282	0.144530		0.071687	0.953862	0.938925	0.850000	0.655185	0.925913	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v1	2026-05-29	dirty
8	ITGB5	ENSG00000082781	P18084	core_surfaceome	balanced	0.654481	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	1.000000	0.959106	0.857440	0.471412	0.946439	not_available		0.934881	0.150000	0.191821	0.171488	-0.094282	0.141966		0.093488	0.942654	0.747141	0.850000	0.633333	0.962500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v1	2026-05-29	dirty
9	NECTIN2	ENSG00000130202	Q92692	core_surfaceome	balanced	0.648753	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	1.000000	0.980689	0.988641	0.600909	0.972080	not_available		0.792563	0.150000	0.196138	0.197728	-0.120182	0.145812		0.079256	0.960299	0.917531	0.900000	0.668750	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	liver	high_critical_off_tumor_risk	v1	2026-05-29	dirty
10	IFNGR1	ENSG00000027697	P15260	core_surfaceome	balanced	0.644735	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	1.000000	0.953048	0.822037	0.471412	0.936752	not_available		0.934881	0.150000	0.190610	0.164407	-0.094282	0.140513		0.093488	0.938792	0.714426	0.850000	0.614444	0.962500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	lung	high_critical_off_tumor_risk	v1	2026-05-29	dirty
11	JAG1	ENSG00000101384	P78504	core_surfaceome	balanced	0.643294	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	1.000000	0.916698	0.811435	0.471412	0.989744	not_available		0.934881	0.150000	0.183340	0.162287	-0.094282	0.148462		0.093488	0.908879	0.705983	0.850000	0.720000	0.962500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v1	2026-05-29	dirty
12	EPCAM	ENSG00000119888	P16422	core_surfaceome	balanced	0.639761	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	1.000000	0.964029	0.989398	0.600909	0.838462	not_available		0.934881	0.150000	0.192806	0.197880	-0.120182	0.125769		0.093488	0.946308	0.919387	0.900000	0.508333	0.962500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	kidney	high_critical_off_tumor_risk	v1	2026-05-29	dirty
