control_set	gene	expected	presence_status	baseline_rank	top20_frequency	top50_frequency	leave_one_layer_rank_range	interpretation
positive_control	ERBB2	top_50_in_balanced_or_documented_biological_exception	ranked_in_core_probable_universe	20	0.340000	1.000000	10-46	benchmark_diagnostic_not_weight_tuning
positive_control	CLDN18	top_100_in_balanced_and_isoform_flag_present	ranked_in_core_probable_universe	1474	0.000000	0.000000	886-2154	benchmark_diagnostic_not_weight_tuning
positive_control	FGFR2	top_100_or_subtype_amplification_flag	ranked_in_core_probable_universe	1333	0.000000	0.000000	918-1953	benchmark_diagnostic_not_weight_tuning
positive_control	TACSTD2	ranked_with_normal_risk_flag	ranked_in_core_probable_universe	202	0.000000	0.000000	162-323	benchmark_diagnostic_not_weight_tuning
positive_control	EPCAM	surface_evidence_positive_with_normal_expression_penalty	ranked_in_core_probable_universe	14	1.000000	1.000000	6-38	benchmark_diagnostic_not_weight_tuning
positive_control	CEACAM5	surface_evidence_positive_with_specificity_review	ranked_in_core_probable_universe	12	1.000000	1.000000	8-34	benchmark_diagnostic_not_weight_tuning
positive_control	MET	ranked_or_flagged_for_heterogeneity	ranked_in_core_probable_universe	45	0.000000	0.788000	27-105	benchmark_diagnostic_not_weight_tuning
positive_control	MSLN	surface_evidence_positive_or_documented_coverage_gap	ranked_in_core_probable_universe	158	0.000000	0.000000	48-316	benchmark_diagnostic_not_weight_tuning
secondary_benchmark	CEACAM6	surface_evidence_positive_with_specificity_review	ranked_in_core_probable_universe	57	0.000000	0.244000	29-119	benchmark_diagnostic_not_weight_tuning
secondary_benchmark	ERBB3	ranked_or_documented_if_low_in_STAD	ranked_in_core_probable_universe	101	0.000000	0.000000	19-274	benchmark_diagnostic_not_weight_tuning
secondary_benchmark	GUCY2C	surface_evidence_positive_with_gi_normal_expression_flag	ranked_in_core_probable_universe	345	0.000000	0.000000	132-641	benchmark_diagnostic_not_weight_tuning
secondary_benchmark	SLC44A4	topology_and_ecd_review_required	ranked_in_core_probable_universe	427	0.000000	0.000000	241-953	benchmark_diagnostic_not_weight_tuning
secondary_benchmark	NECTIN4	ranked_or_documented_if_expression_low_or_risk_high	ranked_in_core_probable_universe	389	0.000000	0.000000	202-709	benchmark_diagnostic_not_weight_tuning
negative_control	ACTB	not_top_100_and_not_surfaceome_core	not_in_core_probable_universe					benchmark_diagnostic_not_weight_tuning
negative_control	GAPDH	not_top_100_and_not_surfaceome_core	not_in_core_probable_universe					benchmark_diagnostic_not_weight_tuning
negative_control	H3C1	not_top_100_and_not_surfaceome_core	not_in_core_probable_universe					benchmark_diagnostic_not_weight_tuning
negative_control	TOMM20	not_top_100_and_not_surfaceome_core	not_in_core_probable_universe					benchmark_diagnostic_not_weight_tuning
negative_control	CALR	not_tier_1_without_context_specific_surface_evidence	not_in_core_probable_universe					benchmark_diagnostic_not_weight_tuning
negative_control	ALB	not_top_100_and_not_cell_surface_target	not_in_core_probable_universe					benchmark_diagnostic_not_weight_tuning
tme_or_off_tumor_penalty_control	PTPRC	surface_evidence_allowed_but_not_tier_1_for_epithelial_tumor_targeting	ranked_in_core_probable_universe	636	0.000000	0.000000	290-1230	benchmark_diagnostic_not_weight_tuning
tme_or_off_tumor_penalty_control	PECAM1	surface_evidence_allowed_but_not_tier_1_for_epithelial_tumor_targeting	ranked_in_core_probable_universe	15	1.000000	1.000000	15-39	benchmark_diagnostic_not_weight_tuning
