rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	Surf_relative_confidence	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation
1	ITGB4	ENSG00000132470	P16144	core_surfaceome	adc_focused	0.650825	1.000000		0		0.600000	0.988126	0.995176	0.364564	0.889044	not_available		0.789308	0.090000	0.237150	0.159228	-0.065622	0.151137		0.078931	0.966494	0.951985	0.800000	0.540000	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk
2	MPZL1	ENSG00000197965	O95297	core_surfaceome	adc_focused	0.633617	1.000000		0		0.600000	0.974026	0.994434	0.470501	0.964226	not_available		0.715131	0.090000	0.233766	0.159109	-0.084690	0.163918		0.071513	0.954063	0.939109	0.850000	0.655185	0.925913	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk
3	CDH3	ENSG00000062038	P22223	core_surfaceome	adc_focused	0.628333	1.000000		0		0.600000	0.831911	0.961410	0.312987	0.954444	not_available		0.789308	0.090000	0.199659	0.153826	-0.056338	0.162255		0.078931	0.834471	0.867495	0.750000	0.644444	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	immune	moderate_off_tumor_risk
4	ITGB5	ENSG00000082781	P18084	core_surfaceome	adc_focused	0.627580	1.000000		0		0.600000	0.959184	0.858627	0.470501	0.947457	not_available		0.936182	0.090000	0.230204	0.137380	-0.084690	0.161068		0.093618	0.943006	0.748905	0.850000	0.633333	0.962500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk
5	NECTIN2	ENSG00000130202	Q92692	core_surfaceome	adc_focused	0.619870	1.000000		0		0.600000	0.980705	0.988497	0.599629	0.972610	not_available		0.789308	0.090000	0.235369	0.158160	-0.107933	0.165344		0.078931	0.960408	0.917662	0.900000	0.668750	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	liver	high_critical_off_tumor_risk
6	IFNGR1	ENSG00000027697	P15260	core_surfaceome	adc_focused	0.618989	1.000000		0		0.600000	0.952876	0.824490	0.470501	0.937954	not_available		0.936182	0.090000	0.228690	0.131918	-0.084690	0.159452		0.093618	0.939221	0.717106	0.850000	0.614444	0.962500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	lung	high_critical_off_tumor_risk
7	JAG1	ENSG00000101384	P78504	core_surfaceome	adc_focused	0.617644	1.000000		0		0.600000	0.917625	0.813729	0.470501	0.989939	not_available		0.936182	0.090000	0.220230	0.130197	-0.084690	0.168290		0.093618	0.909722	0.708497	0.850000	0.720000	0.962500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk
8	HLA-DRB3	ENSG00000196101	P79483	core_surfaceome	adc_focused	0.614473	0.250000	E;N;R;P	4	E;N;R;P	0.400000					not_available		0.936182	0.060000						0.093618					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression
9	HLA-DRB4	ENSG00000227357	P13762	core_surfaceome	adc_focused	0.614473	0.250000	E;N;R;P	4	E;N;R;P	0.400000					not_available		0.936182	0.060000						0.093618					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression
10	KIR2DL5A	ENSG00000274143	Q8N109	core_surfaceome	adc_focused	0.614473	0.250000	E;N;R;P	4	E;N;R;P	0.400000					not_available		0.936182	0.060000						0.093618					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression
11	KIR2DS1	ENSG00000276387	Q14954	core_surfaceome	adc_focused	0.614473	0.250000	E;N;R;P	4	E;N;R;P	0.400000					not_available		0.936182	0.060000						0.093618					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression
12	CEACAM5	ENSG00000105388	P06731	core_surfaceome	adc_focused	0.613227	1.000000		0		0.600000	0.918738	0.936178	0.470501	0.984349	not_available		0.702923	0.090000	0.220497	0.149788	-0.084690	0.167339		0.070292	0.910260	0.838442	0.850000	0.704545	0.920000	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	lung	high_critical_off_tumor_risk
