rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	Surf_relative_confidence	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation
1	ITGB4	ENSG00000132470	P16144	core_surfaceome	novelty_focused	0.640353	1.000000		0		0.600000	0.988126	0.995176	0.364564	0.889044	not_available		0.789308	0.102000	0.177863	0.199035	-0.065622	0.124466		0.102610	0.966494	0.951985	0.800000	0.540000	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk
2	HLA-DRB3	ENSG00000196101	P79483	core_surfaceome	novelty_focused	0.632346	0.300000	E;N;R;P	4	E;N;R;P	0.400000					not_available		0.936182	0.068000						0.121704					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression
3	HLA-DRB4	ENSG00000227357	P13762	core_surfaceome	novelty_focused	0.632346	0.300000	E;N;R;P	4	E;N;R;P	0.400000					not_available		0.936182	0.068000						0.121704					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression
4	KIR2DL5A	ENSG00000274143	Q8N109	core_surfaceome	novelty_focused	0.632346	0.300000	E;N;R;P	4	E;N;R;P	0.400000					not_available		0.936182	0.068000						0.121704					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression
5	KIR2DS1	ENSG00000276387	Q14954	core_surfaceome	novelty_focused	0.632346	0.300000	E;N;R;P	4	E;N;R;P	0.400000					not_available		0.936182	0.068000						0.121704					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression
6	CDH3	ENSG00000062038	P22223	core_surfaceome	novelty_focused	0.623921	1.000000		0		0.600000	0.831911	0.961410	0.312987	0.954444	not_available		0.789308	0.102000	0.149744	0.192282	-0.056338	0.133622		0.102610	0.834471	0.867495	0.750000	0.644444	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	immune	moderate_off_tumor_risk
7	MPZL1	ENSG00000197965	O95297	core_surfaceome	novelty_focused	0.619480	1.000000		0		0.600000	0.974026	0.994434	0.470501	0.964226	not_available		0.715131	0.102000	0.175325	0.198887	-0.084690	0.134992		0.092967	0.954063	0.939109	0.850000	0.655185	0.925913	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk
8	ITGB5	ENSG00000082781	P18084	core_surfaceome	novelty_focused	0.616036	1.000000		0		0.600000	0.959184	0.858627	0.470501	0.947457	not_available		0.936182	0.102000	0.172653	0.171725	-0.084690	0.132644		0.121704	0.943006	0.748905	0.850000	0.633333	0.962500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk
9	BST2	ENSG00000130303	Q10589	core_surfaceome	novelty_focused	0.611005	1.000000		0		0.800000	0.985158	0.878108	0.364564	0.536333	not_available		0.866075	0.136000	0.177328	0.175622	-0.065622	0.075087		0.112590	0.963377	0.770501	0.800000	0.251515	0.951295	watchlist_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk
10	NECTIN2	ENSG00000130202	Q92692	core_surfaceome	novelty_focused	0.607069	1.000000		0		0.600000	0.980705	0.988497	0.599629	0.972610	not_available		0.789308	0.102000	0.176527	0.197699	-0.107933	0.136165		0.102610	0.960408	0.917662	0.900000	0.668750	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	liver	high_critical_off_tumor_risk
