rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	Surf_relative_confidence	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation
1	HLA-DRB3	ENSG00000196101	P79483	core_surfaceome	safety_first	0.643719	0.220000	E;N;R;P	4	E;N;R;P	0.400000					not_available		0.936182	0.048000						0.093618					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression
2	HLA-DRB4	ENSG00000227357	P13762	core_surfaceome	safety_first	0.643719	0.220000	E;N;R;P	4	E;N;R;P	0.400000					not_available		0.936182	0.048000						0.093618					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression
3	KIR2DL5A	ENSG00000274143	Q8N109	core_surfaceome	safety_first	0.643719	0.220000	E;N;R;P	4	E;N;R;P	0.400000					not_available		0.936182	0.048000						0.093618					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression
4	KIR2DS1	ENSG00000276387	Q14954	core_surfaceome	safety_first	0.643719	0.220000	E;N;R;P	4	E;N;R;P	0.400000					not_available		0.936182	0.048000						0.093618					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression
5	ITGB4	ENSG00000132470	P16144	core_surfaceome	safety_first	0.531586	1.000000		0		0.600000	0.988126	0.995176	0.364564	0.889044	not_available		0.789308	0.072000	0.148219	0.218939	-0.102078	0.115576		0.078931	0.966494	0.951985	0.800000	0.540000	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk
6	ALPG	ENSG00000163286	P10696	core_surfaceome	safety_first	0.528209	1.000000		0		0.600000	0.513544	0.980334	0.085343	0.781163	not_available		0.858491	0.072000	0.077032	0.215673	-0.023896	0.101551		0.085849	0.513525	0.900705	0.000000	0.453636	0.950000	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
7	CDH3	ENSG00000062038	P22223	core_surfaceome	safety_first	0.523669	1.000000		0		0.600000	0.831911	0.961410	0.312987	0.954444	not_available		0.789308	0.072000	0.124787	0.211510	-0.087636	0.124078		0.078931	0.834471	0.867495	0.750000	0.644444	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	immune	moderate_off_tumor_risk
8	MPZL1	ENSG00000197965	O95297	core_surfaceome	safety_first	0.502002	1.000000		0		0.600000	0.974026	0.994434	0.470501	0.964226	not_available		0.715131	0.072000	0.146104	0.218775	-0.131740	0.125349		0.071513	0.954063	0.939109	0.850000	0.655185	0.925913	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk
9	LRRC15	ENSG00000172061	Q8TF66	core_surfaceome	safety_first	0.501976	1.000000		0		0.600000	0.592579	0.918367	0.212987	0.921185	not_available		0.789308	0.072000	0.088887	0.202041	-0.059636	0.119754		0.078931	0.595529	0.817662	0.215417	0.583333	0.932500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	lung	lower_risk_by_current_normal_expression
10	TNFRSF11A	ENSG00000141655	Q9Y6Q6	core_surfaceome	safety_first	0.496634	1.000000		0		0.600000	0.737291	0.939889	0.290167	0.842929	not_available		0.789308	0.072000	0.110594	0.206776	-0.081247	0.109581		0.078931	0.741596	0.840594	0.700000	0.510741	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	gi_epithelial	moderate_off_tumor_risk
