rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	ranking_status	score_config_sha256	git_commit	Surf_rank_percentile	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation	freeze_version	freeze_date_utc	git_worktree_status_at_freeze
1	ITGB4	ENSG00000132470	P16144	core_surfaceome	balanced	0.672374	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.912420	0.988262	0.995456	0.368042	0.887464	not_available		0.792563	0.136863	0.197652	0.199091	-0.073608	0.133120		0.079256	0.966509	0.952177	0.800000	0.540000	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk	v0	2026-05-29	dirty
2	MPZL1	ENSG00000197965	O95297	core_surfaceome	balanced	0.651444	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.930540	0.973874	0.994320	0.489966	0.963533	not_available		0.716874	0.139581	0.194775	0.198864	-0.097993	0.144530		0.071687	0.953862	0.938925	0.850000	0.655185	0.925913	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v0	2026-05-29	dirty
3	CDH3	ENSG00000062038	P22223	core_surfaceome	balanced	0.646724	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.850510	0.829610	0.961378	0.306702	0.953561	not_available		0.792563	0.127576	0.165922	0.192276	-0.061340	0.143034		0.079256	0.832526	0.865808	0.750000	0.644444	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	immune	moderate_off_tumor_risk	v0	2026-05-29	dirty
4	ITGB5	ENSG00000082781	P18084	core_surfaceome	balanced	0.640567	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.912797	0.959106	0.857440	0.475577	0.946439	not_available		0.934881	0.136920	0.191821	0.171488	-0.095115	0.141966		0.093488	0.942654	0.747141	0.850000	0.633333	0.962500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v0	2026-05-29	dirty
5	NECTIN2	ENSG00000130202	Q92692	core_surfaceome	balanced	0.638105	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.933560	0.980689	0.988641	0.604317	0.972080	not_available		0.792563	0.140034	0.196138	0.197728	-0.120863	0.145812		0.079256	0.960299	0.917531	0.900000	0.668750	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	liver	high_critical_off_tumor_risk	v0	2026-05-29	dirty
6	IFNGR1	ENSG00000027697	P15260	core_surfaceome	balanced	0.630808	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.901095	0.953048	0.822037	0.466869	0.936752	not_available		0.934881	0.135164	0.190610	0.164407	-0.093374	0.140513		0.093488	0.938792	0.714426	0.850000	0.614444	0.962500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	lung	high_critical_off_tumor_risk	v0	2026-05-29	dirty
7	KIR2DS1	ENSG00000276387	Q14954	core_surfaceome	balanced	0.629898	0.250000	E;N;R;P	4	E;N;R;P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.426576					not_available		0.934881	0.063986						0.093488					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression	v0	2026-05-29	dirty
8	KIR2DL5A	ENSG00000274143	Q8N109	core_surfaceome	balanced	0.629672	0.250000	E;N;R;P	4	E;N;R;P	preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.426199					not_available		0.934881	0.063930						0.093488					0.962500	not_assessable_missing_bulk_expression	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed		missing_normal_expression	v0	2026-05-29	dirty
9	JAG1	ENSG00000101384	P78504	core_surfaceome	balanced	0.629475	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.913930	0.916698	0.811435	0.475956	0.989744	not_available		0.934881	0.137089	0.183340	0.162287	-0.095191	0.148462		0.093488	0.908879	0.705983	0.850000	0.720000	0.962500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk	v0	2026-05-29	dirty
10	TNFRSF11A	ENSG00000141655	Q9Y6Q6	core_surfaceome	balanced	0.629352	1.000000		0		preliminary_fase13_mvp_not_final_tiering	227d95ac3448af4b00edffbe8281c5c6b481dbd16eaaa92576f3633b21905560	6b4346e850b08f041c8e6c46b97a7396a3bba25d	0.994715	0.734570	0.939796	0.300265	0.840456	not_available		0.792563	0.149207	0.146914	0.187959	-0.060053	0.126068		0.079256	0.739417	0.839303	0.700000	0.510741	0.932500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	gi_epithelial	moderate_off_tumor_risk	v0	2026-05-29	dirty
