covariate_type	covariate_level	n_primary_tumor_samples	descriptive_report_allowed	quantitative_claim_allowed	claim_scope
ajcc_pathologic_stage_collapsed	Stage I	57	true	true	quantitative_claim_allowed
ajcc_pathologic_stage_collapsed	Stage II	122	true	true	quantitative_claim_allowed
ajcc_pathologic_stage_collapsed	Stage III	173	true	true	quantitative_claim_allowed
ajcc_pathologic_stage_collapsed	Stage IV	41	true	true	quantitative_claim_allowed
ajcc_pathologic_stage_collapsed	unavailable	21	true	false	descriptive_only
tissue_or_organ_of_origin	Body of stomach	98	true	true	quantitative_claim_allowed
tissue_or_organ_of_origin	Cardia, NOS	99	true	true	quantitative_claim_allowed
tissue_or_organ_of_origin	Fundus of stomach	50	true	true	quantitative_claim_allowed
tissue_or_organ_of_origin	Gastric antrum	148	true	true	quantitative_claim_allowed
tissue_or_organ_of_origin	Lesser curvature of stomach, NOS	1	false	false	insufficient_n
tissue_or_organ_of_origin	Stomach, NOS	18	true	false	descriptive_only
histology_proxy_not_lauren	adenocarcinoma_nos_or_other_proxy	174	true	true	quantitative_claim_allowed;proxy_only_not_lauren_claim
histology_proxy_not_lauren	diffuse_or_signet_like_proxy	79	true	true	quantitative_claim_allowed;proxy_only_not_lauren_claim
histology_proxy_not_lauren	intestinal_like_proxy	159	true	true	quantitative_claim_allowed;proxy_only_not_lauren_claim
histology_proxy_not_lauren	mixed_proxy	2	false	false	insufficient_n;proxy_only_not_lauren_claim
