hgnc_symbol	ensembl_gene_id	organ	hpa_normal_protein_max_level_score	hpa_normal_protein_max_level	medium_high_cell_type_evidence
ABCA1	ENSG00000165029	brain	2	Medium	Caudate:neuronal cells:Medium:Approved;Cerebral cortex:endothelial cells:Medium:Approved;Cerebral cortex:neuronal cells:Medium:Approved
ABCA1	ENSG00000165029	gi_epithelial	3	High	Colon:glandular cells:Medium:Approved;Duodenum:glandular cells:Medium:Approved;Rectum:glandular cells:Medium:Approved;Small intestine:glandular cells:Medium:Approved;Stomach:glandular cells:High:Approved;Stomach:glandular cells:Medium:Approved
ABCA1	ENSG00000165029	heart	2	Medium	Heart muscle:cardiomyocytes:Medium:Approved
ABCA1	ENSG00000165029	hematopoietic	1	Low	
ABCA1	ENSG00000165029	immune	2	Medium	Lymph node:germinal center cells:Medium:Approved;Tonsil:squamous epithelial cells:Medium:Approved
ABCA1	ENSG00000165029	kidney	2	Medium	Kidney:cells in tubules:Medium:Approved
ABCA1	ENSG00000165029	liver	2	Medium	Liver:hepatocytes:Medium:Approved
ABCA1	ENSG00000165029	lung	3	High	Lung:macrophages:High:Approved
ABCA1	ENSG00000165029	reproductive_other	2	Medium	Fallopian tube:glandular cells:Medium:Approved;Ovary:follicle cells:Medium:Approved;Seminal vesicle:glandular cells:Medium:Approved;Testis:Leydig cells:Medium:Approved;Testis:cells in seminiferous ducts:Medium:Approved
ABCA2	ENSG00000107331	brain	3	High	Caudate:glial cells:Medium:Approved;Caudate:neuronal cells:High:Approved;Cerebellum:Purkinje cells:Medium:Approved;Cerebellum:cells in molecular layer:Medium:Approved;Cerebral cortex:glial cells:Medium:Approved;Cerebral cortex:neuronal cells:Medium:Approved;Hippocampus:neuronal cells:High:Approved
ABCA2	ENSG00000107331	gi_epithelial	2	Medium	Colon:endothelial cells:Medium:Approved;Colon:glandular cells:Medium:Approved;Colon:peripheral nerve/ganglion:Medium:Approved;Duodenum:glandular cells:Medium:Approved;Esophagus:squamous epithelial cells:Medium:Approved;Rectum:glandular cells:Medium:Approved;Small intestine:glandular cells:Medium:Approved;Stomach:glandular cells:Medium:Approved
ABCA2	ENSG00000107331	heart	1	Low	
ABCA2	ENSG00000107331	hematopoietic	2	Medium	Bone marrow:hematopoietic cells:Medium:Approved
ABCA2	ENSG00000107331	immune	2	Medium	Bone marrow:hematopoietic cells:Medium:Approved;Lymph node:germinal center cells:Medium:Approved;Lymph node:non-germinal center cells:Medium:Approved;Tonsil:germinal center cells:Medium:Approved;Tonsil:non-germinal center cells:Medium:Approved;Tonsil:squamous epithelial cells:Medium:Approved
ABCA2	ENSG00000107331	kidney	2	Medium	Kidney:cells in glomeruli:Medium:Approved;Kidney:cells in tubules:Medium:Approved
ABCA2	ENSG00000107331	liver	2	Medium	Liver:hepatocytes:Medium:Approved
ABCA2	ENSG00000107331	lung	2	Medium	Lung:macrophages:Medium:Approved
ABCA2	ENSG00000107331	reproductive_other	3	High	Endometrium:cells in endometrial stroma:Medium:Approved;Endometrium:glandular cells:Medium:Approved;Fallopian tube:glandular cells:Medium:Approved;Ovary:follicle cells:Medium:Approved;Ovary:ovarian stroma cells:Medium:Approved;Prostate:glandular cells:Medium:Approved;Testis:Leydig cells:Medium:Approved;Testis:elongated or late spermatids:Medium:Approved
ABCA4	ENSG00000198691	brain	0	Not detected	
ABCA4	ENSG00000198691	gi_epithelial	0	Not detected	
ABCA4	ENSG00000198691	heart	0	Not detected	
ABCA4	ENSG00000198691	hematopoietic	0	Not detected	
ABCA4	ENSG00000198691	immune	0	Not detected	
ABCA4	ENSG00000198691	kidney	3	High	Kidney:collecting ducts:High:Enhanced;Kidney:distal tubules:High:Enhanced;Kidney:proximal tubules (cell body):High:Enhanced
ABCA4	ENSG00000198691	liver	0	Not detected	
ABCA4	ENSG00000198691	lung	0	Not detected	
ABCA4	ENSG00000198691	reproductive_other	0	Not detected	
ABCA5	ENSG00000154265	brain	3	High	Caudate:glial cells:Medium:Approved;Caudate:neuronal cells:Medium:Approved;Cerebellum:Purkinje cells:High:Approved;Cerebellum:cells in granular layer:High:Approved;Cerebellum:cells in molecular layer:Medium:Approved;Cerebral cortex:endothelial cells:Medium:Approved;Cerebral cortex:neuronal cells:Medium:Approved;Cerebral cortex:neuropil:Medium:Approved
ABCA5	ENSG00000154265	gi_epithelial	3	High	Colon:endothelial cells:Medium:Approved;Colon:glandular cells:High:Approved;Colon:peripheral nerve/ganglion:High:Approved;Duodenum:glandular cells:High:Approved;Esophagus:squamous epithelial cells:Medium:Approved;Rectum:glandular cells:High:Approved;Small intestine:glandular cells:High:Approved;Stomach:glandular cells:High:Approved
ABCA5	ENSG00000154265	heart	3	High	Heart muscle:cardiomyocytes:High:Approved
ABCA5	ENSG00000154265	hematopoietic	3	High	Bone marrow:hematopoietic cells:High:Approved;Spleen:cells in red pulp:Medium:Approved;Spleen:cells in white pulp:Medium:Approved
ABCA5	ENSG00000154265	immune	3	High	Bone marrow:hematopoietic cells:High:Approved;Lymph node:germinal center cells:Medium:Approved;Lymph node:non-germinal center cells:High:Approved;Spleen:cells in red pulp:Medium:Approved;Spleen:cells in white pulp:Medium:Approved;Tonsil:germinal center cells:Medium:Approved;Tonsil:non-germinal center cells:High:Approved;Tonsil:squamous epithelial cells:High:Approved
ABCA5	ENSG00000154265	kidney	3	High	Kidney:cells in glomeruli:Medium:Approved;Kidney:cells in tubules:High:Approved
ABCA5	ENSG00000154265	liver	2	Medium	Liver:cholangiocytes:Medium:Approved
ABCA5	ENSG00000154265	lung	2	Medium	Lung:alveolar cells:Medium:Approved;Lung:macrophages:Medium:Approved
ABCA5	ENSG00000154265	reproductive_other	3	High	Endometrium:glandular cells:High:Approved;Fallopian tube:glandular cells:High:Approved;Ovary:follicle cells:Medium:Approved;Prostate:glandular cells:Medium:Approved;Seminal vesicle:glandular cells:Medium:Approved;Testis:Leydig cells:High:Approved;Testis:cells in seminiferous ducts:Medium:Approved
ABCA7	ENSG00000064687	brain	1	Low	
ABCA7	ENSG00000064687	gi_epithelial	1	Low	
ABCA7	ENSG00000064687	heart	0	Not detected	
ABCA7	ENSG00000064687	hematopoietic	3	High	Bone marrow:hematopoietic cells:High:Enhanced;Spleen:cells in red pulp:Medium:Enhanced
ABCA7	ENSG00000064687	immune	3	High	Bone marrow:hematopoietic cells:High:Enhanced;Spleen:cells in red pulp:Medium:Enhanced
ABCA7	ENSG00000064687	kidney	1	Low	
ABCA7	ENSG00000064687	liver	1	Low	
ABCA7	ENSG00000064687	lung	1	Low	
ABCA7	ENSG00000064687	reproductive_other	3	High	Fallopian tube:ciliated cells (ciliary rootlets):High:Enhanced;Fallopian tube:ciliated cells (tip of cilia):Medium:Enhanced;Testis:Leydig cells:Medium:Enhanced
ABCA8	ENSG00000141338	brain	2	Medium	Cerebellum:white matter cells - cytoplasm/membrane:Medium:Enhanced;Cerebral cortex:endothelial cells:Medium:Enhanced
ABCA8	ENSG00000141338	gi_epithelial	3	High	Colon:fibroblasts:High:Enhanced;Colon:mucosal lymphoid cells:High:Enhanced;Colon:peripheral nerve/ganglion:High:Enhanced;Rectum:fibroblasts:High:Enhanced;Rectum:mucosal lymphoid cells:High:Enhanced;Rectum:peripheral nerve/ganglion:High:Enhanced
ABCA8	ENSG00000141338	heart	0	Not detected	
ABCA8	ENSG00000141338	hematopoietic	0	Not detected	
ABCA8	ENSG00000141338	immune	0	Not detected	
ABCA8	ENSG00000141338	kidney	1	Low	
ABCA8	ENSG00000141338	liver	2	Medium	Liver:hepatocytes:Medium:Enhanced
ABCA8	ENSG00000141338	lung	1	Low	
ABCA8	ENSG00000141338	reproductive_other	3	High	Ovary:ovarian stroma cells:High:Enhanced;Testis:Leydig cells:High:Enhanced;Testis:sertoli cells:Medium:Enhanced
ABCB1	ENSG00000085563	brain	3	High	Cerebral cortex:endothelial cells:High:Enhanced
ABCB1	ENSG00000085563	gi_epithelial	1	Low	
ABCB1	ENSG00000085563	heart	0	Not detected	
ABCB1	ENSG00000085563	hematopoietic	0	Not detected	
ABCB1	ENSG00000085563	immune	0	Not detected	
ABCB1	ENSG00000085563	kidney	1	Low	
ABCB1	ENSG00000085563	liver	2	Medium	Liver:cholangiocytes:Medium:Enhanced
ABCB1	ENSG00000085563	lung	0	Not detected	
ABCB1	ENSG00000085563	reproductive_other	1	Low	
ABCB11	ENSG00000073734	brain	0	Not detected	
ABCB11	ENSG00000073734	gi_epithelial	0	Not detected	
ABCB11	ENSG00000073734	heart	0	Not detected	
ABCB11	ENSG00000073734	hematopoietic	0	Not detected	
ABCB11	ENSG00000073734	immune	0	Not detected	
ABCB11	ENSG00000073734	kidney	0	Not detected	
ABCB11	ENSG00000073734	liver	3	High	Liver:hepatocytes:High:Enhanced
ABCB11	ENSG00000073734	lung	0	Not detected	
ABCB11	ENSG00000073734	reproductive_other	1	Low	
ABCB4	ENSG00000005471	brain	0	Not detected	
ABCB4	ENSG00000005471	gi_epithelial	0	Not detected	
ABCB4	ENSG00000005471	heart	0	Not detected	
ABCB4	ENSG00000005471	hematopoietic	0	Not detected	
ABCB4	ENSG00000005471	immune	0	Not detected	
ABCB4	ENSG00000005471	kidney	0	Not detected	
ABCB4	ENSG00000005471	liver	3	High	Liver:hepatocytes:High:Enhanced
ABCB4	ENSG00000005471	lung	0	Not detected	
ABCB4	ENSG00000005471	reproductive_other	0	Not detected	
ABCC1	ENSG00000103222	brain	2	Medium	Cerebral cortex:endothelial cells:Medium:Uncertain
ABCC1	ENSG00000103222	gi_epithelial	2	Medium	Colon:endothelial cells:Medium:Uncertain;Colon:peripheral nerve/ganglion:Medium:Uncertain;Duodenum:glandular cells:Medium:Uncertain;Rectum:glandular cells:Medium:Uncertain;Small intestine:glandular cells:Medium:Uncertain
ABCC1	ENSG00000103222	heart	0	Not detected	
ABCC1	ENSG00000103222	hematopoietic	1	Low	
ABCC1	ENSG00000103222	immune	2	Medium	Tonsil:non-germinal center cells:Medium:Uncertain
ABCC1	ENSG00000103222	kidney	2	Medium	Kidney:cells in glomeruli:Medium:Uncertain
ABCC1	ENSG00000103222	liver	0	Not detected	
ABCC1	ENSG00000103222	lung	1	Low	
ABCC1	ENSG00000103222	reproductive_other	2	Medium	Endometrium:glandular cells:Medium:Uncertain;Ovary:ovarian stroma cells:Medium:Uncertain;Testis:cells in seminiferous ducts:Medium:Uncertain
ABCC2	ENSG00000023839	brain	0	Not detected	
