hgnc_symbol	ensembl_gene_id	group_type	group_level	n_group_samples	n_other_primary_tumor_samples	median_tpm_group	p75_tpm_group	p90_tpm_group	pct_samples_tpm_gt_1_group	pct_samples_tpm_gt_5_group	median_tpm_other_tumors	median_log2_tpm_plus_001_group	median_log2_tpm_plus_001_other_tumors	median_log2_tpm_delta_vs_other_tumors	claim_scope
ABCA1	ENSG00000165029	TCGA_molecular_subtype	STAD_CIN	221	193	4.799884	7.759770	10.890268	0.972851	0.484163	5.279959	2.263300	2.400800	-0.137500	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
ABCA1	ENSG00000165029	TCGA_molecular_subtype	STAD_EBV	30	384	5.680056	7.875084	10.732861	1.000000	0.600000	4.940030	2.506050	2.304800	0.201250	quantitative_claim_allowed;subtype_annotation_only
ABCA1	ENSG00000165029	TCGA_molecular_subtype	STAD_GS	50	364	8.180026	11.844896	15.242057	1.000000	0.740000	4.639928	3.032100	2.214400	0.817700	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
ABCA1	ENSG00000165029	TCGA_molecular_subtype	STAD_MSI	73	341	4.460101	6.659820	10.449904	0.958904	0.438356	5.370034	2.157400	2.425200	-0.267800	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
ABCA1	ENSG00000165029	TCGA_molecular_subtype	STAD_POLE	7	407	2.579946	5.474994	7.558057	0.857143	0.285714	5.150170	1.367900	2.364900	-0.997000	insufficient_n;subtype_annotation_only
ABCA1	ENSG00000165029	TCGA_molecular_subtype	unassigned	33	381	3.780084	8.800199	12.904050	0.909091	0.363636	5.239847	1.918800	2.389800	-0.471000	quantitative_claim_allowed;subtype_annotation_only
ABCA12	ENSG00000144452	TCGA_molecular_subtype	STAD_CIN	221	193	0.200005	1.130001	3.269928	0.266968	0.049774	0.250007	-2.314700	-1.994200	-0.320500	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
ABCA12	ENSG00000144452	TCGA_molecular_subtype	STAD_EBV	30	384	0.730001	1.760029	2.971984	0.366667	0.066667	0.194999	-0.460750	-2.351550	1.890800	quantitative_claim_allowed;subtype_annotation_only
ABCA12	ENSG00000144452	TCGA_molecular_subtype	STAD_GS	50	364	0.145001	0.585011	1.873018	0.180000	0.020000	0.250007	-2.776800	-1.994200	-0.782600	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
ABCA12	ENSG00000144452	TCGA_molecular_subtype	STAD_MSI	73	341	0.299993	0.900001	2.374051	0.219178	0.013699	0.200005	-1.732200	-2.314700	0.582500	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
ABCA12	ENSG00000144452	TCGA_molecular_subtype	STAD_POLE	7	407	0.640002	1.054996	2.418026	0.285714	0.000000	0.219997	-0.641600	-2.177900	1.536300	insufficient_n;subtype_annotation_only
ABCA12	ENSG00000144452	TCGA_molecular_subtype	unassigned	33	381	0.120002	0.389989	0.520016	0.060606	0.030303	0.250007	-3.046900	-1.994200	-1.052700	quantitative_claim_allowed;subtype_annotation_only
ABCA2	ENSG00000107331	TCGA_molecular_subtype	STAD_CIN	221	193	16.140470	24.119699	34.919442	1.000000	0.963801	16.800288	4.012700	4.070500	-0.057800	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
ABCA2	ENSG00000107331	TCGA_molecular_subtype	STAD_EBV	30	384	13.334771	20.012364	27.601803	1.000000	0.933333	16.765423	3.737200	4.067500	-0.330300	quantitative_claim_allowed;subtype_annotation_only
ABCA2	ENSG00000107331	TCGA_molecular_subtype	STAD_GS	50	364	13.279917	21.830321	27.844468	1.000000	0.960000	16.800288	3.731250	4.070500	-0.339250	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
ABCA2	ENSG00000107331	TCGA_molecular_subtype	STAD_MSI	73	341	21.109663	31.271014	50.974985	1.000000	0.986301	15.470058	4.399900	3.951500	0.448400	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
ABCA2	ENSG00000107331	TCGA_molecular_subtype	STAD_POLE	7	407	25.199838	26.580262	30.702343	1.000000	1.000000	16.410101	4.655400	4.036600	0.618800	insufficient_n;subtype_annotation_only
ABCA2	ENSG00000107331	TCGA_molecular_subtype	unassigned	33	381	14.170297	28.430140	45.737307	1.000000	0.909091	16.730558	3.824900	4.064500	-0.239600	quantitative_claim_allowed;subtype_annotation_only
ABCA4	ENSG00000198691	TCGA_molecular_subtype	STAD_CIN	221	193	0.099998	0.200005	0.389989	0.022624	0.004525	0.080002	-3.307600	-3.625900	0.318300	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
ABCA4	ENSG00000198691	TCGA_molecular_subtype	STAD_EBV	30	384	0.060002	0.107498	0.168997	0.000000	0.000000	0.089999	-4.035000	-3.458000	-0.577000	quantitative_claim_allowed;subtype_annotation_only
ABCA4	ENSG00000198691	TCGA_molecular_subtype	STAD_GS	50	364	0.120002	0.219997	0.352992	0.020000	0.000000	0.085001	-3.046900	-3.541950	0.495050	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
ABCA4	ENSG00000198691	TCGA_molecular_subtype	STAD_MSI	73	341	0.070002	0.140003	0.200005	0.000000	0.000000	0.099998	-3.816000	-3.307600	-0.508400	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
ABCA4	ENSG00000198691	TCGA_molecular_subtype	STAD_POLE	7	407	0.149998	0.205005	0.242002	0.000000	0.000000	0.089999	-2.727400	-3.458000	0.730600	insufficient_n;subtype_annotation_only
ABCA4	ENSG00000198691	TCGA_molecular_subtype	unassigned	33	381	0.080002	0.319990	0.450000	0.060606	0.000000	0.089999	-3.625900	-3.458000	-0.167900	quantitative_claim_allowed;subtype_annotation_only
ABCA5	ENSG00000154265	TCGA_molecular_subtype	STAD_CIN	221	193	5.059921	8.100000	11.589733	0.977376	0.502262	4.360124	2.339400	2.124700	0.214700	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
ABCA5	ENSG00000154265	TCGA_molecular_subtype	STAD_EBV	30	384	3.234978	4.464922	9.079050	0.900000	0.200000	4.860031	1.694200	2.281250	-0.587050	quantitative_claim_allowed;subtype_annotation_only
ABCA5	ENSG00000154265	TCGA_molecular_subtype	STAD_GS	50	364	4.919986	6.695024	8.519804	1.000000	0.480000	4.569969	2.298900	2.192500	0.106400	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
ABCA5	ENSG00000154265	TCGA_molecular_subtype	STAD_MSI	73	341	4.560157	6.569941	8.196137	1.000000	0.452055	4.749897	2.189400	2.248200	-0.058800	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
ABCA5	ENSG00000154265	TCGA_molecular_subtype	STAD_POLE	7	407	4.210108	5.154973	6.976045	1.000000	0.285714	4.729852	2.074200	2.242100	-0.167900	insufficient_n;subtype_annotation_only
ABCA5	ENSG00000154265	TCGA_molecular_subtype	unassigned	33	381	4.090132	5.850068	7.314101	0.969697	0.393939	4.749897	2.032500	2.248200	-0.215700	quantitative_claim_allowed;subtype_annotation_only
ABCA7	ENSG00000064687	TCGA_molecular_subtype	STAD_CIN	221	193	7.020115	11.569665	17.460433	0.990950	0.728507	7.750095	2.811700	2.954400	-0.142700	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
ABCA7	ENSG00000064687	TCGA_molecular_subtype	STAD_EBV	30	384	8.349969	13.817237	16.244555	1.000000	0.833333	7.299804	3.060950	2.868050	0.192900	quantitative_claim_allowed;subtype_annotation_only
ABCA7	ENSG00000064687	TCGA_molecular_subtype	STAD_GS	50	364	6.645065	8.207680	13.694781	1.000000	0.740000	7.505112	2.732500	2.908050	-0.175550	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
ABCA7	ENSG00000064687	TCGA_molecular_subtype	STAD_MSI	73	341	8.410132	11.620304	14.196136	1.000000	0.753425	7.200014	3.072300	2.848200	0.224100	quantitative_and_tier1_subtype_context_allowed;subtype_annotation_only
