audit_type	hgnc_symbol	surfaceome_category	surfaceome_confidence_score	control_role	status	notes
control	ACTB	ambiguous_membrane_or_surface_context	1	negative_intracellular_or_secreted	ok	surface_annotation_without_membrane_anchor_or_hpa_membrane|cspa_unspecific_copurified_not_counted_as_surface_support
control	ALB	ambiguous_membrane_or_surface_context	-4	negative_intracellular_or_secreted	ok	secreted_only_without_surface_anchor|exclusive_intracellular_hpa_localization
control	CALR	ambiguous_membrane_or_surface_context	4	negative_intracellular_or_secreted	ok	surface_annotation_without_membrane_anchor_or_hpa_membrane
control	CEACAM5	core_surfaceome	8	positive_or_benchmark	ok	
control	CEACAM6	core_surfaceome	7	positive_or_benchmark	ok	
control	CLDN18	core_surfaceome	7	positive_or_benchmark	ok	
control	EPCAM	core_surfaceome	8	positive_or_benchmark	ok	
control	ERBB2	core_surfaceome	8	positive_or_benchmark	ok	
control	ERBB3	core_surfaceome	8	positive_or_benchmark	ok	
control	FGFR2	core_surfaceome	7	positive_or_benchmark	ok	
control	GAPDH	ambiguous_membrane_or_surface_context	2	negative_intracellular_or_secreted	ok	cspa_unspecific_copurified_not_counted_as_surface_support
control	GUCY2C	core_surfaceome	7	positive_or_benchmark	ok	
control	H3C1	excluded	-2	negative_intracellular_or_secreted	ok	exclusive_intracellular_hpa_localization
control	MET	core_surfaceome	8	positive_or_benchmark	ok	
control	MSLN	core_surfaceome	8	positive_or_benchmark	ok	
control	NECTIN4	core_surfaceome	8	positive_or_benchmark	ok	
control	PECAM1	core_surfaceome	8	tme_or_off_tumor	ok	tme_or_off_tumor_penalty_control
control	PTPRC	core_surfaceome	7	tme_or_off_tumor	ok	tme_or_off_tumor_penalty_control
control	SLC44A4	core_surfaceome	7	positive_or_benchmark	ok	
control	TACSTD2	core_surfaceome	7	positive_or_benchmark	ok	
control	TOMM20	ambiguous_membrane_or_surface_context	-2	negative_intracellular_or_secreted	ok	exclusive_intracellular_hpa_localization
potential_false_negative_published_absent_from_core_probable	A2M	ambiguous_membrane_or_surface_context	3		review_if_biologically_relevant	surface_annotation_without_membrane_anchor_or_hpa_membrane
potential_false_negative_published_absent_from_core_probable	A4GALT	ambiguous_membrane_or_surface_context	3		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	AAK1	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	AAMP	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	AATK	ambiguous_membrane_or_surface_context	3		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ABCA10	ambiguous_membrane_or_surface_context	4		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ABCA13	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ABCA3	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ABCA6	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ABCA9	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ABCB5	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ABCB6	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ABCB9	ambiguous_membrane_or_surface_context	1		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ABCC10	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ABCC12	ambiguous_membrane_or_surface_context	1		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ABHD2	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ABI1	ambiguous_membrane_or_surface_context	4		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ABI3BP	ambiguous_membrane_or_surface_context	3		review_if_biologically_relevant	surface_annotation_without_membrane_anchor_or_hpa_membrane
potential_false_negative_published_absent_from_core_probable	ACAA1	ambiguous_membrane_or_surface_context	3		review_if_biologically_relevant	surface_annotation_without_membrane_anchor_or_hpa_membrane
potential_false_negative_published_absent_from_core_probable	ACP2	ambiguous_membrane_or_surface_context	4		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ACP3	ambiguous_membrane_or_surface_context	4		review_if_biologically_relevant	surface_annotation_without_membrane_anchor_or_hpa_membrane
potential_false_negative_published_absent_from_core_probable	ADA	ambiguous_membrane_or_surface_context	5		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ADAM18	ambiguous_membrane_or_surface_context	4		review_if_biologically_relevant	
potential_false_negative_published_absent_from_core_probable	ADAM33	ambiguous_membrane_or_surface_context	4		review_if_biologically_relevant	
