hgnc_symbol	ensembl_gene_id	surfaceome_category	scRNA_gate_status	SC_status	cellular_specificity_label	raw_tme_contamination_risk	tme_contamination_risk	max_tme_module	max_tme_spearman_rho	max_tme_p_value	max_tme_n_samples	max_tme_partial_spearman_rho	max_tme_partial_p_value	max_tme_partial_n_samples	combined_tme_spearman_rho	combined_tme_p_value	combined_tme_n_samples	combined_tme_partial_spearman_rho	combined_tme_partial_p_value	combined_tme_partial_n_samples	known_tme_control	median_tpm_tumor	E_rank_percentile	purity_source	purity_adjustment_status	tiering_implication
ABCA1	ENSG00000165029	core_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	ambiguous	moderate_uncorrected_tme_correlation	moderate_residual_tme_correlation	myeloid_macrophage	0.594686	0.000000	414	0.327546	0.000000	414	0.646744	0.000000	414	0.396539	0.000000	414	false	5.059835	0.707236	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	allowed_only_with_explicit_tme_contamination_flag
ABCA12	ENSG00000144452	core_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	not covered	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	myeloid_macrophage	0.076740	0.118996	414	0.196289	0.000058	414	0.006563	0.894082	414	0.175480	0.000334	414	false	0.219997	0.431169	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	no_tme_flag_from_bulk_modules
ABCA2	ENSG00000107331	probable_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	not covered	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	caf_fibroblast	0.192236	0.000083	414	0.341381	0.000000	414	0.042411	0.389395	414	0.315430	0.000000	414	false	16.594931	0.866419	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	no_tme_flag_from_bulk_modules
ABCA4	ENSG00000198691	core_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	not covered	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	endothelial	0.342666	0.000000	414	0.328178	0.000000	414	0.249438	0.000000	414	0.281885	0.000000	414	false	0.089999	0.312059	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	no_tme_flag_from_bulk_modules
ABCA5	ENSG00000154265	probable_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	not covered	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	endothelial	0.042514	0.388242	414	0.184442	0.000161	414	-0.046087	0.349586	414	0.228267	0.000003	414	false	4.705019	0.701670	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	no_tme_flag_from_bulk_modules
ABCA7	ENSG00000064687	core_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	not covered	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	t_cell	0.108137	0.027802	414	0.196460	0.000057	414	0.080633	0.101350	414	0.224738	0.000004	414	false	7.349793	0.764378	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	no_tme_flag_from_bulk_modules
ABCA8	ENSG00000141338	probable_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	ambiguous	high_uncorrected_tme_correlation	high_purity_adjusted_tme_correlation	endothelial	0.618872	0.000000	414	0.441646	0.000000	414	0.587710	0.000000	414	0.323787	0.000000	414	false	0.999971	0.556957	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	requires_cell_resolved_or_protein_membranous_tumor_cell_evidence_before_tier1
ABCB1	ENSG00000085563	core_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	ambiguous	moderate_uncorrected_tme_correlation	moderate_residual_tme_correlation	endothelial	0.589045	0.000000	414	0.374783	0.000000	414	0.637249	0.000000	414	0.384777	0.000000	414	false	2.269956	0.614842	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	allowed_only_with_explicit_tme_contamination_flag
ABCB11	ENSG00000073734	core_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	not covered	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	endothelial	0.139032	0.004596	414	0.087346	0.075857	414	0.124552	0.011198	414	0.050395	0.306342	414	false	0.020000	0.243414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	no_tme_flag_from_bulk_modules
ABCB4	ENSG00000005471	core_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	ambiguous	watchlist_uncorrected_tme_correlation	watchlist_uncorrected_tme_correlation	endothelial	0.390236	0.000000	414	0.245647	0.000000	414	0.386595	0.000000	414	0.206089	0.000024	414	false	0.490002	0.437848	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	review_in_candidate_card_if_prioritized
ABCC1	ENSG00000103222	core_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	ambiguous	watchlist_uncorrected_tme_correlation	watchlist_uncorrected_tme_correlation	endothelial	0.366485	0.000000	414	0.396516	0.000000	414	0.311855	0.000000	414	0.527489	0.000000	414	false	18.355263	0.871243	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	review_in_candidate_card_if_prioritized
ABCC11	ENSG00000121270	core_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	not covered	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	myeloid_macrophage	0.186940	0.000130	414	0.318387	0.000000	414	0.107832	0.028249	414	0.332305	0.000000	414	false	0.159996	0.341002	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	no_tme_flag_from_bulk_modules
ABCC2	ENSG00000023839	core_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	not covered	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	endothelial	-0.017060	0.729271	414	0.157635	0.001292	414	-0.103541	0.035200	414	0.223012	0.000005	414	false	0.365005	0.470872	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	no_tme_flag_from_bulk_modules
ABCC3	ENSG00000108846	core_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	not covered	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	myeloid_macrophage	0.126473	0.009998	414	0.354497	0.000000	414	-0.013393	0.785851	414	0.289560	0.000000	414	false	48.954574	0.911688	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	no_tme_flag_from_bulk_modules
ABCC4	ENSG00000125257	core_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	not covered	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	endothelial	0.259401	0.000000	414	0.320113	0.000000	414	0.169937	0.000516	414	0.360339	0.000000	414	false	4.865049	0.702412	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	no_tme_flag_from_bulk_modules
ABCC5	ENSG00000114770	core_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	not covered	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	endothelial	0.237291	0.000001	414	0.328764	0.000000	414	0.160530	0.001047	414	0.434459	0.000000	414	false	7.840092	0.805937	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	no_tme_flag_from_bulk_modules
ABCC6	ENSG00000091262	core_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	not covered	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	endothelial	0.057232	0.245267	414	0.184757	0.000157	414	0.006082	0.901811	414	0.301818	0.000000	414	false	5.400097	0.701299	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	no_tme_flag_from_bulk_modules
ABCC8	ENSG00000006071	core_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	not covered	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	endothelial	0.164796	0.000763	414	0.287138	0.000000	414	0.025888	0.599414	414	0.255341	0.000000	414	false	0.239999	0.406308	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	no_tme_flag_from_bulk_modules
ABCC9	ENSG00000069431	core_surfaceome	not_entered_mvp_no_processed_annotated_dataset	not_available	ambiguous	high_uncorrected_tme_correlation	high_purity_adjusted_tme_correlation	caf_fibroblast	0.737740	0.000000	414	0.552550	0.000000	414	0.675167	0.000000	414	0.291751	0.000000	414	false	1.635039	0.598145	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	requires_cell_resolved_or_protein_membranous_tumor_cell_evidence_before_tier1
