hgnc_symbol	ensembl_gene_id	module_id	spearman_rho	p_value	n_samples	partial_spearman_rho	partial_p_value	partial_n_samples	purity_source	correlation_scope
ABCA1	ENSG00000165029	caf_fibroblast	0.560956	0.000000	414	0.315856	0.000000	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA1	ENSG00000165029	endothelial	0.593660	0.000000	414	0.377501	0.000000	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA1	ENSG00000165029	myeloid_macrophage	0.594686	0.000000	414	0.327546	0.000000	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA1	ENSG00000165029	t_cell	0.389174	0.000000	414	-0.091525	0.062811	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA1	ENSG00000165029	b_plasma	0.278843	0.000000	414	-0.089550	0.068724	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA12	ENSG00000144452	caf_fibroblast	-0.037202	0.450292	414	0.016434	0.738841	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA12	ENSG00000144452	endothelial	0.000386	0.993751	414	0.062249	0.206237	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA12	ENSG00000144452	myeloid_macrophage	0.076740	0.118996	414	0.196289	0.000058	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA12	ENSG00000144452	t_cell	-0.037041	0.452260	414	0.037067	0.451948	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA12	ENSG00000144452	b_plasma	0.034012	0.490101	414	0.101411	0.039161	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA2	ENSG00000107331	caf_fibroblast	0.192236	0.000083	414	0.341381	0.000000	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA2	ENSG00000107331	endothelial	0.092479	0.060108	414	0.202687	0.000033	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA2	ENSG00000107331	myeloid_macrophage	0.021631	0.660770	414	0.144716	0.003166	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA2	ENSG00000107331	t_cell	-0.017004	0.730119	414	0.103393	0.035464	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA2	ENSG00000107331	b_plasma	-0.108038	0.027947	414	-0.056892	0.248084	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA4	ENSG00000198691	caf_fibroblast	0.232457	0.000002	414	0.185916	0.000142	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA4	ENSG00000198691	endothelial	0.342666	0.000000	414	0.328178	0.000000	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA4	ENSG00000198691	myeloid_macrophage	0.168344	0.000583	414	0.095057	0.053279	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA4	ENSG00000198691	t_cell	0.036132	0.463441	414	-0.121107	0.013671	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA4	ENSG00000198691	b_plasma	0.137207	0.005165	414	0.064913	0.187444	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
ABCA5	ENSG00000154265	caf_fibroblast	-0.052769	0.284081	414	0.066717	0.175449	414	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	TCGA-STAD_primary_tumor_bulk_log2_TPM
