hgnc_symbol	ensembl_gene_id	purity_source	purity_n_samples	partial_correlation_status	max_tme_module	raw_spearman_rho	partial_spearman_rho	partial_p_value	partial_n_samples	raw_tme_contamination_risk	tme_contamination_risk_after_purity	notes
ABCA1	ENSG00000165029	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	414	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	myeloid_macrophage	0.594686	0.327546	0.000000	414	moderate_uncorrected_tme_correlation	moderate_residual_tme_correlation	ESTIMATE/tidyestimate RNA-seq ESTIMATE score used as a relative purity/admixture covariate; not interpreted as absolute pathologist purity.
ABCA12	ENSG00000144452	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	414	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	myeloid_macrophage	0.076740	0.196289	0.000058	414	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	ESTIMATE/tidyestimate RNA-seq ESTIMATE score used as a relative purity/admixture covariate; not interpreted as absolute pathologist purity.
ABCA2	ENSG00000107331	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	414	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	caf_fibroblast	0.192236	0.341381	0.000000	414	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	ESTIMATE/tidyestimate RNA-seq ESTIMATE score used as a relative purity/admixture covariate; not interpreted as absolute pathologist purity.
ABCA4	ENSG00000198691	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	414	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	endothelial	0.342666	0.328178	0.000000	414	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	ESTIMATE/tidyestimate RNA-seq ESTIMATE score used as a relative purity/admixture covariate; not interpreted as absolute pathologist purity.
ABCA5	ENSG00000154265	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	414	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	endothelial	0.042514	0.184442	0.000161	414	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	ESTIMATE/tidyestimate RNA-seq ESTIMATE score used as a relative purity/admixture covariate; not interpreted as absolute pathologist purity.
ABCA7	ENSG00000064687	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	414	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	t_cell	0.108137	0.196460	0.000057	414	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	ESTIMATE/tidyestimate RNA-seq ESTIMATE score used as a relative purity/admixture covariate; not interpreted as absolute pathologist purity.
ABCA8	ENSG00000141338	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	414	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	endothelial	0.618872	0.441646	0.000000	414	high_uncorrected_tme_correlation	high_purity_adjusted_tme_correlation	ESTIMATE/tidyestimate RNA-seq ESTIMATE score used as a relative purity/admixture covariate; not interpreted as absolute pathologist purity.
ABCB1	ENSG00000085563	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	414	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	endothelial	0.589045	0.374783	0.000000	414	moderate_uncorrected_tme_correlation	moderate_residual_tme_correlation	ESTIMATE/tidyestimate RNA-seq ESTIMATE score used as a relative purity/admixture covariate; not interpreted as absolute pathologist purity.
ABCB11	ENSG00000073734	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	414	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	endothelial	0.139032	0.087346	0.075857	414	low_uncorrected_tme_correlation	low_uncorrected_tme_correlation	ESTIMATE/tidyestimate RNA-seq ESTIMATE score used as a relative purity/admixture covariate; not interpreted as absolute pathologist purity.
ABCB4	ENSG00000005471	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate	414	computed_partial_spearman_with_estimate_rnaseq_relative_proxy	endothelial	0.390236	0.245647	0.000000	414	watchlist_uncorrected_tme_correlation	watchlist_uncorrected_tme_correlation	ESTIMATE/tidyestimate RNA-seq ESTIMATE score used as a relative purity/admixture covariate; not interpreted as absolute pathologist purity.
