sample	patient_id	sample_index	stromal_score	immune_score	estimate_score	estimate_purity_proxy	purity_covariate	purity_source
TCGA-BR-A4QL-01	TCGA-BR-A4QL	0	-376.829693	2150.037	1773.207	0.648432	1773.207	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-VQ-A927-01	TCGA-VQ-A927	1	532.316580	2651.553	3183.870	0.478068	3183.870	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-IN-7808-01	TCGA-IN-7808	2	970.195213	6185.947	7156.142		7156.142	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-CG-4466-01	TCGA-CG-4466	3	-675.181636	1496.328	821.146699	0.748153	821.146699	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-D7-A4Z0-01	TCGA-D7-A4Z0	4	1962.688	4310.253	6272.941	0.044999	6272.941	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-CG-4462-01	TCGA-CG-4462	5	4540.115	5338.291	9878.406		9878.406	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-IN-8663-01	TCGA-IN-8663	6	-422.577894	1266.405	843.827176	0.745940	843.827176	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-HU-A4GQ-01	TCGA-HU-A4GQ	7	1279.794	2716.308	3996.102	0.370203	3996.102	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-BR-7716-01	TCGA-BR-7716	8	1502.885	4545.682	6048.567	0.077871	6048.567	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-BR-8372-01	TCGA-BR-8372	9	973.929135	4356.088	5330.017	0.182398	5330.017	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-BR-8363-01	TCGA-BR-8363	10	1821.232	5135.478	6956.710		6956.710	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-D7-8579-01	TCGA-D7-8579	11	2778.311	3833.168	6611.479		6611.479	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-BR-4363-01	TCGA-BR-4363	12	2552.033	4213.932	6765.965		6765.965	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-VQ-A91D-01	TCGA-VQ-A91D	13	925.790967	2963.170	3888.961	0.384766	3888.961	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-BR-7196-01	TCGA-BR-7196	14	3312.477	4601.034	7913.511		7913.511	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-BR-6852-01	TCGA-BR-6852	15	2244.872	5364.776	7609.649		7609.649	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-D7-8575-01	TCGA-D7-8575	16	649.199843	3802.470	4451.670	0.307301	4451.670	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-BR-8367-01	TCGA-BR-8367	17	2407.735	2583.219	4990.954	0.231087	4990.954	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-VQ-A91Q-01	TCGA-VQ-A91Q	18	1037.498	1298.292	2335.790	0.583427	2335.790	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-VQ-A94R-01	TCGA-VQ-A94R	19	1827.983	2702.251	4530.234	0.296307	4530.234	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-VQ-A91W-01	TCGA-VQ-A91W	20	32.221473	3657.030	3689.252	0.411655	3689.252	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-CD-A486-01	TCGA-CD-A486	21	1062.279	2580.738	3643.017	0.417831	3643.017	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-VQ-A8PX-01	TCGA-VQ-A8PX	22	-1294.923	2526.128	1231.205	0.706884	1231.205	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-BR-4367-01	TCGA-BR-4367	23	3046.268	4629.129	7675.397		7675.397	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-BR-7722-01	TCGA-BR-7722	24	1080.278	2786.750	3867.028	0.387736	3867.028	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-HU-A4GD-01	TCGA-HU-A4GD	25	-1881.944	1033.504	-848.440210	0.886789	-848.440210	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-VQ-A94U-01	TCGA-VQ-A94U	26	1360.107	1420.987	2781.093	0.529132	2781.093	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-VQ-A8PJ-01	TCGA-VQ-A8PJ	27	-918.596859	1194.604	276.006890	0.798798	276.006890	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-VQ-A8E7-01	TCGA-VQ-A8E7	28	243.012088	1411.699	1654.711	0.661575	1654.711	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-BR-A4J9-01	TCGA-BR-A4J9	29	2373.964	3163.374	5537.338	0.152396	5537.338	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-HU-A4H5-01	TCGA-HU-A4H5	30	-565.179430	2193.490	1628.311	0.664476	1628.311	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-RD-A8N6-01	TCGA-RD-A8N6	31	612.358117	1467.194	2079.552	0.613555	2079.552	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-BR-8291-01	TCGA-BR-8291	32	3838.511	4512.481	8350.992		8350.992	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-BR-4279-01	TCGA-BR-4279	33	4439.808	4949.842	9389.650		9389.650	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
TCGA-VQ-A8P8-01	TCGA-VQ-A8P8	34	1173.432	3449.069	4622.501	0.283344	4622.501	ESTIMATE_tidyestimate_gene_sets_RNAseq_relative_covariate
